,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,342,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POCINHOS,"R$ 31.483,00"
1,620,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POCINHOS,"R$ 31.483,00"
2,621,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POCINHOS,"R$ 31.483,00"
3,622,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POCINHOS,"R$ 31.483,00"
4,761,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POCINHOS,"R$ 62.966,00"
5,653,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POCINHOS,"R$ 31.483,00"
6,718,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POCINHOS,"R$ 39.406,60"
7,719,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POCINHOS,"R$ 39.406,60"
8,793,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POCINHOS,"R$ 79.024,60"
9,28,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,POCINHOS,"R$ 1.200,00"
10,462,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,POCINHOS,"R$ 82.962,00"
11,40,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,POCINHOS,"R$ 1.200,00"
12,702,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,POCINHOS,"R$ 53.610,00"
13,710,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,POCINHOS,"R$ 55.308,00"
14,718,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,POCINHOS,"R$ 59.570,00"
15,732,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,POCINHOS,"R$ 65.036,00"
16,666,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,POCINHOS,"R$ 14.080,55"
17,667,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,POCINHOS,"R$ 14.080,55"
18,668,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,POCINHOS,"R$ 14.080,55"
19,669,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,POCINHOS,"R$ 14.080,55"
20,683,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,POCINHOS,"R$ 14.080,55"
21,684,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,POCINHOS,"R$ 14.080,55"
22,685,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,POCINHOS,"R$ 14.080,55"
23,686,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,POCINHOS,"R$ 14.080,55"
24,337,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,POCINHOS,"R$ 14.080,47"
25,338,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,POCINHOS,"R$ 14.080,55"
26,752,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POCINHOS,"R$ 429.646,06"
27,792,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POCINHOS,"R$ 515.753,30"
28,798,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POCINHOS,"R$ 534.801,40"
29,826,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POCINHOS,"R$ 684.023,30"
30,759,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POCINHOS,"R$ 415.868,90"
31,787,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POCINHOS,"R$ 472.760,71"
32,808,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POCINHOS,"R$ 540.219,38"
33,818,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POCINHOS,"R$ 586.421,62"
34,759,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POCINHOS,"R$ 396.877,74"
35,784,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POCINHOS,"R$ 448.410,48"
36,791,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POCINHOS,"R$ 463.920,55"
37,826,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POCINHOS,"R$ 617.036,76"
38,477,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POCINHOS,"R$ 72.541,18"
39,478,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POCINHOS,"R$ 72.541,18"
40,640,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POCINHOS,"R$ 271.927,84"
41,731,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POCINHOS,"R$ 72.541,18"
42,732,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POCINHOS,"R$ 72.541,18"
