,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,7,00OW - APOIO A MANUTENCAO DA EDUCACAO INFANTIL,POMBAL,"R$ 126.772,91"
1,9,00OW - APOIO A MANUTENCAO DA EDUCACAO INFANTIL,POMBAL,"R$ 195.225,69"
2,361,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POMBAL,"R$ 36.997,00"
3,379,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POMBAL,"R$ 46.156,00"
4,714,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POMBAL,"R$ 46.156,00"
5,715,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POMBAL,"R$ 46.156,00"
6,716,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POMBAL,"R$ 46.156,00"
7,717,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POMBAL,"R$ 46.156,00"
8,697,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POMBAL,"R$ 36.997,00"
9,742,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POMBAL,"R$ 46.156,00"
10,743,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POMBAL,"R$ 46.156,00"
11,744,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POMBAL,"R$ 46.156,00"
12,227,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,POMBAL,"R$ 12.708,00"
13,392,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,POMBAL,"R$ 33.600,00"
14,442,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,POMBAL,"R$ 56.630,00"
15,611,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,POMBAL,"R$ 30.810,00"
16,771,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,POMBAL,"R$ 84.938,00"
17,802,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,POMBAL,"R$ 125.240,00"
18,531,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,POMBAL,"R$ 8.898,78"
19,532,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,POMBAL,"R$ 8.898,78"
20,533,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,POMBAL,"R$ 8.898,78"
21,534,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,POMBAL,"R$ 8.898,78"
22,541,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,POMBAL,"R$ 8.898,78"
23,542,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,POMBAL,"R$ 8.898,78"
24,543,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,POMBAL,"R$ 8.898,78"
25,544,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,POMBAL,"R$ 8.898,78"
26,271,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,POMBAL,"R$ 8.898,78"
27,272,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,POMBAL,"R$ 8.898,90"
28,765,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POMBAL,"R$ 463.807,91"
29,801,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POMBAL,"R$ 556.761,69"
30,805,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POMBAL,"R$ 577.321,23"
31,833,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POMBAL,"R$ 738.411,08"
