,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,255,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PUXINANÃ,"R$ 16.331,40"
1,287,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PUXINANÃ,"R$ 20.733,40"
2,506,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PUXINANÃ,"R$ 20.733,40"
3,507,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PUXINANÃ,"R$ 20.733,40"
4,508,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PUXINANÃ,"R$ 20.733,40"
5,509,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PUXINANÃ,"R$ 20.733,40"
6,473,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PUXINANÃ,"R$ 16.331,40"
7,526,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PUXINANÃ,"R$ 19.711,00"
8,536,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PUXINANÃ,"R$ 20.563,00"
9,537,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PUXINANÃ,"R$ 20.563,00"
10,151,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PUXINANÃ,"R$ 6.740,00"
11,238,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PUXINANÃ,"R$ 13.910,00"
12,130,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PUXINANÃ,"R$ 2.450,00"
13,306,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PUXINANÃ,"R$ 6.740,00"
14,601,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PUXINANÃ,"R$ 29.800,00"
15,676,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PUXINANÃ,"R$ 45.700,00"
16,690,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PUXINANÃ,"R$ 50.228,00"
17,727,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PUXINANÃ,"R$ 16.717,49"
18,728,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PUXINANÃ,"R$ 16.717,49"
19,729,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PUXINANÃ,"R$ 16.717,49"
20,730,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PUXINANÃ,"R$ 16.717,49"
21,739,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PUXINANÃ,"R$ 16.717,49"
22,740,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PUXINANÃ,"R$ 16.717,49"
23,741,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PUXINANÃ,"R$ 16.717,49"
24,742,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PUXINANÃ,"R$ 16.717,49"
25,363,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PUXINANÃ,"R$ 16.717,49"
26,364,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PUXINANÃ,"R$ 16.717,49"
27,482,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PUXINANÃ,"R$ 212.964,30"
28,566,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PUXINANÃ,"R$ 255.645,39"
29,583,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PUXINANÃ,"R$ 265.084,82"
30,682,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PUXINANÃ,"R$ 339.052,44"
31,496,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PUXINANÃ,"R$ 206.135,30"
32,552,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PUXINANÃ,"R$ 234.335,10"
33,616,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PUXINANÃ,"R$ 267.772,59"
34,648,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PUXINANÃ,"R$ 290.673,83"
35,495,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PUXINANÃ,"R$ 196.721,90"
36,560,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PUXINANÃ,"R$ 222.265,32"
37,571,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PUXINANÃ,"R$ 229.953,25"
38,684,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PUXINANÃ,"R$ 305.848,95"
39,304,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PUXINANÃ,"R$ 35.956,76"
40,305,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PUXINANÃ,"R$ 35.956,76"
41,576,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PUXINANÃ,"R$ 131.893,57"
42,496,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PUXINANÃ,"R$ 35.956,76"
43,497,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PUXINANÃ,"R$ 35.956,76"
44,498,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PUXINANÃ,"R$ 35.956,76"
45,745,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PUXINANÃ,"R$ 77.643,27"
46,243,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PUXINANÃ,"R$ 19.433,28"
47,396,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PUXINANÃ,"R$ 34.158,92"
48,568,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PUXINANÃ,"R$ 77.307,03"
