,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,5,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),QUIXABÁ,"R$ 3.863,00"
1,6,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),QUIXABÁ,"R$ 3.863,00"
2,10,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),QUIXABÁ,"R$ 3.863,00"
3,11,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),QUIXABÁ,"R$ 3.863,00"
4,12,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),QUIXABÁ,"R$ 3.863,00"
5,13,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),QUIXABÁ,"R$ 3.863,00"
6,10,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),QUIXABÁ,"R$ 3.863,00"
7,11,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),QUIXABÁ,"R$ 3.863,00"
8,12,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),QUIXABÁ,"R$ 3.863,00"
9,13,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),QUIXABÁ,"R$ 3.863,00"
10,82,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,QUIXABÁ,"R$ 3.190,00"
11,52,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,QUIXABÁ,"R$ 1.410,00"
12,53,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,QUIXABÁ,"R$ 1.410,00"
13,177,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,QUIXABÁ,"R$ 3.190,00"
14,111,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,QUIXABÁ,"R$ 2.624,59"
15,112,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,QUIXABÁ,"R$ 2.624,59"
16,113,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,QUIXABÁ,"R$ 2.624,59"
17,114,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,QUIXABÁ,"R$ 2.624,59"
18,113,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,QUIXABÁ,"R$ 2.624,59"
19,114,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,QUIXABÁ,"R$ 2.624,59"
20,115,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,QUIXABÁ,"R$ 2.624,59"
21,116,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,QUIXABÁ,"R$ 2.624,59"
22,57,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,QUIXABÁ,"R$ 2.624,56"
23,58,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,QUIXABÁ,"R$ 2.624,59"
24,13,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,QUIXABÁ,"R$ 50.500,38"
