,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,25,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHO DE SANTO ANTÔNIO,"R$ 4.866,00"
1,26,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHO DE SANTO ANTÔNIO,"R$ 4.866,00"
2,45,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHO DE SANTO ANTÔNIO,"R$ 4.866,00"
3,46,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHO DE SANTO ANTÔNIO,"R$ 4.866,00"
4,47,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHO DE SANTO ANTÔNIO,"R$ 4.866,00"
5,48,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHO DE SANTO ANTÔNIO,"R$ 4.866,00"
6,51,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHO DE SANTO ANTÔNIO,"R$ 4.866,00"
7,52,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHO DE SANTO ANTÔNIO,"R$ 4.866,00"
8,53,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHO DE SANTO ANTÔNIO,"R$ 4.866,00"
9,54,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHO DE SANTO ANTÔNIO,"R$ 4.866,00"
10,58,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,RIACHO DE SANTO ANTÔNIO,"R$ 2.240,00"
11,125,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,RIACHO DE SANTO ANTÔNIO,"R$ 5.180,00"
12,117,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,RIACHO DE SANTO ANTÔNIO,"R$ 2.240,00"
13,125,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,RIACHO DE SANTO ANTÔNIO,"R$ 2.410,00"
14,325,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,RIACHO DE SANTO ANTÔNIO,"R$ 7.590,00"
15,91,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,RIACHO DE SANTO ANTÔNIO,"R$ 2.322,18"
16,92,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,RIACHO DE SANTO ANTÔNIO,"R$ 2.322,18"
17,93,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,RIACHO DE SANTO ANTÔNIO,"R$ 2.322,18"
