,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,352,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIO TINTO,"R$ 33.700,20"
1,386,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIO TINTO,"R$ 48.924,00"
2,734,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIO TINTO,"R$ 48.924,00"
3,735,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIO TINTO,"R$ 48.924,00"
4,736,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIO TINTO,"R$ 48.924,00"
5,737,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIO TINTO,"R$ 48.924,00"
6,675,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIO TINTO,"R$ 33.700,20"
7,748,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIO TINTO,"R$ 46.616,40"
8,753,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIO TINTO,"R$ 48.539,40"
9,754,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIO TINTO,"R$ 48.539,40"
10,79,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,RIO TINTO,"R$ 3.030,00"
11,242,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,RIO TINTO,"R$ 14.481,00"
12,391,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,RIO TINTO,"R$ 33.600,00"
13,433,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,RIO TINTO,"R$ 49.680,00"
14,166,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,RIO TINTO,"R$ 3.030,00"
15,621,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,RIO TINTO,"R$ 32.270,00"
16,792,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,RIO TINTO,"R$ 104.350,00"
17,824,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,RIO TINTO,"R$ 179.910,00"
18,752,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,RIO TINTO,"R$ 23.656,42"
19,753,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,RIO TINTO,"R$ 23.656,42"
20,754,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,RIO TINTO,"R$ 23.656,42"
21,755,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,RIO TINTO,"R$ 23.656,42"
22,764,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,RIO TINTO,"R$ 23.656,42"
23,765,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,RIO TINTO,"R$ 23.656,42"
24,766,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,RIO TINTO,"R$ 23.656,42"
25,767,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,RIO TINTO,"R$ 23.656,42"
26,375,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,RIO TINTO,"R$ 23.656,38"
27,376,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,RIO TINTO,"R$ 23.656,42"
28,722,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,RIO TINTO,"R$ 388.200,97"
29,767,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,RIO TINTO,"R$ 466.002,00"
30,775,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,RIO TINTO,"R$ 483.221,72"
31,816,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,RIO TINTO,"R$ 618.040,12"
32,736,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,RIO TINTO,"R$ 375.752,77"
