,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,46,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SALGADINHO,"R$ 5.654,80"
1,47,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SALGADINHO,"R$ 5.654,80"
2,69,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SALGADINHO,"R$ 5.654,80"
3,70,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SALGADINHO,"R$ 5.654,80"
4,71,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SALGADINHO,"R$ 5.654,80"
5,72,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SALGADINHO,"R$ 5.654,80"
6,88,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SALGADINHO,"R$ 5.654,80"
7,89,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SALGADINHO,"R$ 5.654,80"
8,90,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SALGADINHO,"R$ 5.654,80"
9,91,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SALGADINHO,"R$ 5.654,80"
10,281,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SALGADINHO,"R$ 18.480,00"
11,59,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SALGADINHO,"R$ 1.460,00"
12,60,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SALGADINHO,"R$ 1.460,00"
13,431,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SALGADINHO,"R$ 13.150,00"
14,563,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SALGADINHO,"R$ 25.470,00"
15,411,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SALGADINHO,"R$ 6.356,28"
16,412,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SALGADINHO,"R$ 6.356,28"
17,413,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SALGADINHO,"R$ 6.356,28"
18,414,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SALGADINHO,"R$ 6.356,28"
