,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,205,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA CECÍLIA,"R$ 12.991,20"
1,258,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA CECÍLIA,"R$ 16.583,80"
2,463,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA CECÍLIA,"R$ 16.583,80"
3,464,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA CECÍLIA,"R$ 16.583,80"
4,465,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA CECÍLIA,"R$ 16.583,80"
5,466,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA CECÍLIA,"R$ 16.583,80"
6,366,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA CECÍLIA,"R$ 12.991,20"
7,471,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA CECÍLIA,"R$ 16.157,80"
8,481,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA CECÍLIA,"R$ 16.512,80"
9,482,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA CECÍLIA,"R$ 16.512,80"
10,123,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA CECÍLIA,"R$ 5.140,00"
11,202,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA CECÍLIA,"R$ 10.680,00"
12,430,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA CECÍLIA,"R$ 47.799,00"
13,257,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA CECÍLIA,"R$ 5.140,00"
14,499,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA CECÍLIA,"R$ 18.530,00"
15,590,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA CECÍLIA,"R$ 29.210,00"
16,618,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA CECÍLIA,"R$ 31.866,00"
17,580,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA CECÍLIA,"R$ 10.999,13"
18,581,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA CECÍLIA,"R$ 10.999,13"
19,582,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA CECÍLIA,"R$ 10.999,13"
20,583,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA CECÍLIA,"R$ 10.999,13"
21,593,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA CECÍLIA,"R$ 10.999,13"
22,594,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA CECÍLIA,"R$ 10.999,13"
23,595,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA CECÍLIA,"R$ 10.999,13"
24,596,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA CECÍLIA,"R$ 10.999,13"
25,294,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA CECÍLIA,"R$ 10.999,11"
26,295,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA CECÍLIA,"R$ 10.999,13"
27,414,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA CECÍLIA,"R$ 179.393,12"
28,487,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA CECÍLIA,"R$ 215.346,07"
29,507,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA CECÍLIA,"R$ 223.299,73"
30,611,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA CECÍLIA,"R$ 285.605,01"
31,421,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA CECÍLIA,"R$ 173.640,64"
32,484,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA CECÍLIA,"R$ 197.395,08"
33,540,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA CECÍLIA,"R$ 225.561,55"
34,574,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA CECÍLIA,"R$ 244.852,70"
35,423,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA CECÍLIA,"R$ 165.711,12"
36,479,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA CECÍLIA,"R$ 187.227,94"
37,490,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA CECÍLIA,"R$ 193.703,97"
38,614,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA CECÍLIA,"R$ 257.635,63"
39,256,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA CECÍLIA,"R$ 30.288,62"
