,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,172,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA HELENA,"R$ 11.190,80"
1,275,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA HELENA,"R$ 18.660,00"
2,489,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA HELENA,"R$ 18.660,00"
3,490,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA HELENA,"R$ 18.660,00"
4,491,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA HELENA,"R$ 18.660,00"
5,492,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA HELENA,"R$ 18.660,00"
6,319,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA HELENA,"R$ 11.190,80"
7,506,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA HELENA,"R$ 18.148,80"
8,511,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA HELENA,"R$ 18.574,80"
9,512,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA HELENA,"R$ 18.574,80"
10,290,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA HELENA,"R$ 18.860,00"
11,356,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA HELENA,"R$ 27.720,00"
12,406,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA HELENA,"R$ 36.828,00"
13,152,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA HELENA,"R$ 2.810,00"
