,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,30,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA INÊS,"R$ 4.951,40"
1,140,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA INÊS,"R$ 9.523,80"
2,223,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA INÊS,"R$ 9.523,80"
3,224,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA INÊS,"R$ 9.523,80"
4,225,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA INÊS,"R$ 9.523,80"
5,226,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA INÊS,"R$ 9.523,80"
6,63,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA INÊS,"R$ 4.951,40"
7,256,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA INÊS,"R$ 9.523,80"
8,257,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA INÊS,"R$ 9.523,80"
9,258,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA INÊS,"R$ 9.523,80"
10,104,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA INÊS,"R$ 4.040,00"
11,66,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA INÊS,"R$ 1.600,00"
12,180,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA INÊS,"R$ 3.200,00"
13,217,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA INÊS,"R$ 4.040,00"
14,342,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA INÊS,"R$ 8.150,00"
15,652,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA INÊS,"R$ 39.566,00"
16,20,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA INÊS,"R$ 1.410,16"
17,21,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA INÊS,"R$ 1.410,16"
18,22,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA INÊS,"R$ 1.410,16"
19,23,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA INÊS,"R$ 1.410,16"
