,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,112,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA LUZIA,"R$ 8.356,20"
1,113,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA LUZIA,"R$ 8.356,20"
2,199,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA LUZIA,"R$ 8.946,60"
3,374,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA LUZIA,"R$ 14.469,00"
4,375,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA LUZIA,"R$ 14.469,00"
5,629,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA LUZIA,"R$ 32.217,00"
6,397,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA LUZIA,"R$ 14.469,00"
7,398,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA LUZIA,"R$ 14.469,00"
8,399,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA LUZIA,"R$ 14.469,00"
9,400,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA LUZIA,"R$ 14.469,00"
10,292,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA LUZIA,"R$ 19.029,00"
11,311,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA LUZIA,"R$ 21.680,00"
12,514,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA LUZIA,"R$ 19.790,00"
13,662,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA LUZIA,"R$ 41.470,00"
14,683,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA LUZIA,"R$ 47.415,00"
15,135,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA LUZIA,"R$ 2.783,28"
16,136,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA LUZIA,"R$ 2.783,28"
17,137,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA LUZIA,"R$ 2.783,28"
18,138,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA LUZIA,"R$ 2.783,28"
19,135,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA LUZIA,"R$ 2.783,28"
20,136,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA LUZIA,"R$ 2.783,28"
21,137,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA LUZIA,"R$ 2.783,28"
22,138,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA LUZIA,"R$ 2.783,28"
23,67,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA LUZIA,"R$ 2.783,28"
24,68,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA LUZIA,"R$ 2.783,32"
25,368,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA LUZIA,"R$ 165.731,63"
26,452,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA LUZIA,"R$ 198.946,60"
27,469,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA LUZIA,"R$ 206.298,43"
28,581,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA LUZIA,"R$ 263.855,06"
29,393,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA LUZIA,"R$ 160.417,19"
30,439,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA LUZIA,"R$ 182.362,66"
31,500,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA LUZIA,"R$ 208.384,14"
32,541,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA LUZIA,"R$ 226.206,20"
