,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,409,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA RITA,"R$ 133.029,20"
1,412,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA RITA,"R$ 237.782,60"
2,787,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA RITA,"R$ 104.753,40"
3,809,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA RITA,"R$ 133.068,40"
4,814,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA RITA,"R$ 217.118,20"
5,815,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA RITA,"R$ 217.118,20"
6,819,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA RITA,"R$ 308.857,80"
7,5,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA RITA,"R$ 520,00"
8,420,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA RITA,"R$ 42.000,00"
9,474,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA RITA,"R$ 149.103,00"
10,475,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA RITA,"R$ 206.060,00"
11,9,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA RITA,"R$ 520,00"
12,262,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA RITA,"R$ 5.260,00"
13,794,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA RITA,"R$ 106.934,00"
14,836,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA RITA,"R$ 333.920,00"
15,841,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA RITA,"R$ 448.773,00"
16,601,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA RITA,"R$ 11.342,89"
17,602,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA RITA,"R$ 11.342,89"
18,603,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA RITA,"R$ 11.342,89"
19,604,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA RITA,"R$ 11.342,89"
