,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,64,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA TERESINHA,"R$ 6.340,00"
1,65,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA TERESINHA,"R$ 6.340,00"
2,101,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA TERESINHA,"R$ 6.340,00"
3,102,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA TERESINHA,"R$ 6.340,00"
4,103,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA TERESINHA,"R$ 6.340,00"
5,104,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA TERESINHA,"R$ 6.340,00"
6,121,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA TERESINHA,"R$ 6.340,00"
7,122,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA TERESINHA,"R$ 6.340,00"
8,123,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA TERESINHA,"R$ 6.340,00"
9,124,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA TERESINHA,"R$ 6.340,00"
10,109,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA TERESINHA,"R$ 4.200,00"
11,138,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA TERESINHA,"R$ 5.820,00"
12,210,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA TERESINHA,"R$ 3.880,00"
13,223,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA TERESINHA,"R$ 4.200,00"
14,327,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA TERESINHA,"R$ 7.614,00"
15,371,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA TERESINHA,"R$ 9.700,00"
16,265,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA TERESINHA,"R$ 4.103,95"
17,266,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA TERESINHA,"R$ 4.103,95"
18,267,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA TERESINHA,"R$ 4.103,95"
19,268,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA TERESINHA,"R$ 4.103,95"
20,271,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA TERESINHA,"R$ 4.103,95"
21,272,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA TERESINHA,"R$ 4.103,95"
22,273,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA TERESINHA,"R$ 4.103,95"
23,274,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA TERESINHA,"R$ 4.103,95"
24,135,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA TERESINHA,"R$ 4.103,91"
25,136,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA TERESINHA,"R$ 4.103,95"
26,105,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA TERESINHA,"R$ 84.906,10"
27,167,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA TERESINHA,"R$ 101.922,49"
28,188,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA TERESINHA,"R$ 105.685,22"
