,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,94,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTANA DE MANGUEIRA,"R$ 7.493,60"
1,243,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTANA DE MANGUEIRA,"R$ 15.630,20"
2,423,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTANA DE MANGUEIRA,"R$ 15.630,20"
3,424,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTANA DE MANGUEIRA,"R$ 15.630,20"
4,425,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTANA DE MANGUEIRA,"R$ 15.630,20"
5,426,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTANA DE MANGUEIRA,"R$ 15.630,20"
6,170,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTANA DE MANGUEIRA,"R$ 7.493,60"
7,402,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTANA DE MANGUEIRA,"R$ 14.522,60"
8,437,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTANA DE MANGUEIRA,"R$ 15.445,60"
9,438,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTANA DE MANGUEIRA,"R$ 15.445,60"
10,150,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTANA DE MANGUEIRA,"R$ 6.540,00"
11,190,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTANA DE MANGUEIRA,"R$ 9.830,00"
12,364,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTANA DE MANGUEIRA,"R$ 27.720,00"
13,461,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTANA DE MANGUEIRA,"R$ 81.774,00"
14,268,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTANA DE MANGUEIRA,"R$ 5.500,00"
15,299,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTANA DE MANGUEIRA,"R$ 6.540,00"
16,669,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTANA DE MANGUEIRA,"R$ 43.810,00"
17,707,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTANA DE MANGUEIRA,"R$ 54.516,00"
18,297,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTANA DE MANGUEIRA,"R$ 4.836,30"
19,298,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTANA DE MANGUEIRA,"R$ 4.836,30"
20,299,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTANA DE MANGUEIRA,"R$ 4.836,30"
21,300,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTANA DE MANGUEIRA,"R$ 4.836,30"
22,305,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTANA DE MANGUEIRA,"R$ 4.836,30"
23,306,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTANA DE MANGUEIRA,"R$ 4.836,30"
24,307,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTANA DE MANGUEIRA,"R$ 4.836,30"
25,308,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTANA DE MANGUEIRA,"R$ 4.836,30"
26,155,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTANA DE MANGUEIRA,"R$ 4.836,30"
27,156,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTANA DE MANGUEIRA,"R$ 4.836,30"
28,199,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTANA DE MANGUEIRA,"R$ 107.855,88"
29,266,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTANA DE MANGUEIRA,"R$ 129.471,74"
30,284,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTANA DE MANGUEIRA,"R$ 134.253,75"
31,390,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTANA DE MANGUEIRA,"R$ 171.713,26"
32,205,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTANA DE MANGUEIRA,"R$ 104.397,35"
33,265,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTANA DE MANGUEIRA,"R$ 118.679,13"
34,322,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTANA DE MANGUEIRA,"R$ 135.613,58"
35,352,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTANA DE MANGUEIRA,"R$ 147.211,91"
36,210,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTANA DE MANGUEIRA,"R$ 99.629,91"
37,259,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTANA DE MANGUEIRA,"R$ 112.566,39"
