,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,134,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTANA DOS GARROTES,"R$ 9.340,80"
1,210,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTANA DOS GARROTES,"R$ 13.813,80"
2,356,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTANA DOS GARROTES,"R$ 13.813,80"
3,357,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTANA DOS GARROTES,"R$ 13.813,80"
4,358,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTANA DOS GARROTES,"R$ 13.813,80"
5,359,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTANA DOS GARROTES,"R$ 13.813,80"
6,246,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTANA DOS GARROTES,"R$ 9.340,80"
7,376,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTANA DOS GARROTES,"R$ 13.813,80"
8,377,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTANA DOS GARROTES,"R$ 13.813,80"
9,378,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTANA DOS GARROTES,"R$ 13.813,80"
10,43,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTANA DOS GARROTES,"R$ 1.620,00"
11,111,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTANA DOS GARROTES,"R$ 4.340,00"
12,72,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTANA DOS GARROTES,"R$ 1.620,00"
13,362,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTANA DOS GARROTES,"R$ 9.530,00"
14,481,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTANA DOS GARROTES,"R$ 17.120,00"
15,684,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTANA DOS GARROTES,"R$ 47.650,00"
16,363,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTANA DOS GARROTES,"R$ 5.693,02"
17,364,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTANA DOS GARROTES,"R$ 5.693,02"
18,365,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTANA DOS GARROTES,"R$ 5.693,02"
19,366,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTANA DOS GARROTES,"R$ 5.693,02"
20,374,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTANA DOS GARROTES,"R$ 5.693,02"
21,375,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTANA DOS GARROTES,"R$ 5.693,02"
22,376,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTANA DOS GARROTES,"R$ 5.693,02"
23,377,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTANA DOS GARROTES,"R$ 5.693,02"
24,188,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTANA DOS GARROTES,"R$ 5.692,98"
25,189,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTANA DOS GARROTES,"R$ 5.693,02"
26,219,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTANA DOS GARROTES,"R$ 114.028,20"
27,293,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTANA DOS GARROTES,"R$ 136.881,10"
28,318,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTANA DOS GARROTES,"R$ 141.935,64"
