,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,23,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTO ANDRÉ,"R$ 4.712,20"
1,59,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTO ANDRÉ,"R$ 6.132,20"
2,93,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTO ANDRÉ,"R$ 6.132,20"
3,94,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTO ANDRÉ,"R$ 6.132,20"
4,95,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTO ANDRÉ,"R$ 6.132,20"
5,96,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTO ANDRÉ,"R$ 6.132,20"
6,49,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTO ANDRÉ,"R$ 4.712,20"
7,114,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTO ANDRÉ,"R$ 6.132,20"
8,115,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTO ANDRÉ,"R$ 6.132,20"
9,116,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTO ANDRÉ,"R$ 6.132,20"
10,2,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTO ANDRÉ,"R$ 270,00"
11,18,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTO ANDRÉ,"R$ 1.020,00"
12,5,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTO ANDRÉ,"R$ 270,00"
13,317,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTO ANDRÉ,"R$ 7.290,00"
14,318,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTO ANDRÉ,"R$ 7.290,00"
15,349,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTO ANDRÉ,"R$ 8.472,00"
16,253,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTO ANDRÉ,"R$ 4.062,48"
17,254,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTO ANDRÉ,"R$ 4.062,48"
18,255,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTO ANDRÉ,"R$ 4.062,48"
19,256,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTO ANDRÉ,"R$ 4.062,48"
20,259,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTO ANDRÉ,"R$ 4.062,48"
21,260,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTO ANDRÉ,"R$ 4.062,48"
22,261,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTO ANDRÉ,"R$ 4.062,48"
23,262,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTO ANDRÉ,"R$ 4.062,48"
24,129,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTO ANDRÉ,"R$ 4.062,48"
25,130,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTO ANDRÉ,"R$ 4.062,60"
26,29,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTO ANDRÉ,"R$ 59.360,57"
27,58,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTO ANDRÉ,"R$ 71.257,27"
28,69,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTO ANDRÉ,"R$ 73.889,59"
29,140,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTO ANDRÉ,"R$ 94.505,75"
30,28,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTO ANDRÉ,"R$ 57.457,10"
31,51,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTO ANDRÉ,"R$ 65.317,36"
32,80,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTO ANDRÉ,"R$ 74.637,56"
33,111,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTO ANDRÉ,"R$ 81.020,92"
34,33,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTO ANDRÉ,"R$ 54.833,24"
35,51,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTO ANDRÉ,"R$ 61.953,09"
36,60,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTO ANDRÉ,"R$ 64.095,97"
37,144,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTO ANDRÉ,"R$ 85.250,75"
38,28,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTO ANDRÉ,"R$ 10.022,40"
39,29,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTO ANDRÉ,"R$ 10.022,40"
40,323,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTO ANDRÉ,"R$ 38.347,49"
41,43,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTO ANDRÉ,"R$ 10.022,40"
42,44,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTO ANDRÉ,"R$ 10.022,40"
43,45,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTO ANDRÉ,"R$ 10.022,40"
44,322,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTO ANDRÉ,"R$ 23.692,55"
45,16,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTO ANDRÉ,"R$ 5.416,74"
46,81,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTO ANDRÉ,"R$ 9.521,28"
47,264,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTO ANDRÉ,"R$ 21.548,16"
48,2,12KU - APOIO A IMPLANTACAO DE ESCOLAS PARA EDUCACAO INFANTIL,SANTO ANDRÉ,"R$ 35.815,04"
49,8,12KU - APOIO A IMPLANTACAO DE ESCOLAS PARA EDUCACAO INFANTIL,SANTO ANDRÉ,"R$ 47.753,39"
50,14,12KU - APOIO A IMPLANTACAO DE ESCOLAS PARA EDUCACAO INFANTIL,SANTO ANDRÉ,"R$ 66.974,13"
51,15,12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES,SANTO ANDRÉ,"R$ 20.400,00"
52,35,12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES,SANTO ANDRÉ,"R$ 30.600,00"
53,71,20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA,SANTO ANDRÉ,"R$ 44.220,00"
