,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,390,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAPÉ,"R$ 56.471,40"
1,400,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAPÉ,"R$ 74.718,40"
2,774,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAPÉ,"R$ 74.724,80"
3,775,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAPÉ,"R$ 74.724,80"
4,776,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAPÉ,"R$ 74.724,80"
5,777,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAPÉ,"R$ 74.737,60"
6,763,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAPÉ,"R$ 56.477,80"
7,783,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAPÉ,"R$ 68.760,80"
8,787,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAPÉ,"R$ 73.730,80"
9,788,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAPÉ,"R$ 73.730,80"
10,84,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SAPÉ,"R$ 3.230,00"
11,324,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SAPÉ,"R$ 25.200,00"
12,387,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SAPÉ,"R$ 32.424,00"
13,456,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SAPÉ,"R$ 72.820,00"
14,182,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SAPÉ,"R$ 3.230,00"
15,701,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SAPÉ,"R$ 53.440,00"
16,809,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SAPÉ,"R$ 137.852,00"
17,817,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SAPÉ,"R$ 165.250,00"
18,744,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAPÉ,"R$ 21.832,44"
19,745,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAPÉ,"R$ 21.832,44"
20,746,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAPÉ,"R$ 21.832,44"
21,747,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAPÉ,"R$ 21.832,44"
22,758,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAPÉ,"R$ 21.832,44"
23,759,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAPÉ,"R$ 21.832,44"
24,760,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAPÉ,"R$ 21.832,44"
25,761,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAPÉ,"R$ 21.832,44"
26,372,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAPÉ,"R$ 21.832,44"
27,373,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAPÉ,"R$ 21.832,44"
28,832,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAPÉ,"R$ 737.899,37"
29,852,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAPÉ,"R$ 885.785,00"
30,854,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAPÉ,"R$ 918.499,16"
31,867,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAPÉ,"R$ 1.174.781,82"
32,838,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAPÉ,"R$ 714.237,69"
33,848,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAPÉ,"R$ 811.947,01"
34,860,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAPÉ,"R$ 927.804,47"
35,865,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAPÉ,"R$ 1.007.154,92"
36,838,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAPÉ,"R$ 681.621,12"
37,852,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAPÉ,"R$ 770.126,48"
38,854,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAPÉ,"R$ 796.764,42"
39,868,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAPÉ,"R$ 1.059.735,21"
40,567,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAPÉ,"R$ 124.586,48"
