,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,236,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERIDÓ,"R$ 15.468,40"
1,297,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERIDÓ,"R$ 22.057,20"
2,534,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERIDÓ,"R$ 22.057,20"
3,535,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERIDÓ,"R$ 22.057,20"
4,536,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERIDÓ,"R$ 22.057,20"
5,537,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERIDÓ,"R$ 22.057,20"
6,439,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERIDÓ,"R$ 15.468,40"
7,520,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERIDÓ,"R$ 19.075,20"
8,560,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERIDÓ,"R$ 21.560,20"
9,561,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERIDÓ,"R$ 21.560,20"
10,121,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SERIDÓ,"R$ 4.950,00"
11,171,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SERIDÓ,"R$ 8.091,00"
12,407,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SERIDÓ,"R$ 36.960,00"
13,250,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SERIDÓ,"R$ 4.860,00"
14,253,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SERIDÓ,"R$ 4.950,00"
15,399,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SERIDÓ,"R$ 11.080,00"
16,713,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SERIDÓ,"R$ 55.990,00"
17,759,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SERIDÓ,"R$ 79.040,00"
18,796,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SERIDÓ,"R$ 41.951,44"
19,442,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SERIDÓ,"R$ 194.859,15"
20,525,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SERIDÓ,"R$ 233.911,72"
