,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,123,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERTÃOZINHO,"R$ 8.720,00"
1,249,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERTÃOZINHO,"R$ 15.891,00"
2,440,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERTÃOZINHO,"R$ 15.891,00"
3,441,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERTÃOZINHO,"R$ 15.891,00"
4,442,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERTÃOZINHO,"R$ 15.891,00"
5,443,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERTÃOZINHO,"R$ 15.891,00"
6,219,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERTÃOZINHO,"R$ 8.720,00"
7,432,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERTÃOZINHO,"R$ 15.294,60"
8,452,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERTÃOZINHO,"R$ 15.791,60"
9,453,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERTÃOZINHO,"R$ 15.791,60"
10,293,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SERTÃOZINHO,"R$ 19.060,00"
11,347,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SERTÃOZINHO,"R$ 25.884,00"
12,137,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SERTÃOZINHO,"R$ 2.580,00"
13,354,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SERTÃOZINHO,"R$ 8.690,00"
14,577,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SERTÃOZINHO,"R$ 27.750,00"
15,721,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SERTÃOZINHO,"R$ 60.114,00"
16,214,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SERTÃOZINHO,"R$ 3.669,10"
17,215,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SERTÃOZINHO,"R$ 3.669,10"
18,216,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SERTÃOZINHO,"R$ 3.669,10"
19,217,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SERTÃOZINHO,"R$ 3.669,10"
20,222,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SERTÃOZINHO,"R$ 3.669,10"
21,223,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SERTÃOZINHO,"R$ 3.669,10"
22,224,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SERTÃOZINHO,"R$ 3.669,10"
23,225,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SERTÃOZINHO,"R$ 3.669,10"
24,110,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SERTÃOZINHO,"R$ 3.669,04"
25,111,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SERTÃOZINHO,"R$ 3.669,10"
26,202,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SERTÃOZINHO,"R$ 108.809,62"
27,269,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SERTÃOZINHO,"R$ 130.616,66"
28,288,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SERTÃOZINHO,"R$ 135.441,87"
29,395,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SERTÃOZINHO,"R$ 173.231,72"
30,209,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SERTÃOZINHO,"R$ 105.320,53"
31,271,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SERTÃOZINHO,"R$ 119.728,60"
