,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,453,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOLEDADE,"R$ 16.376,80"
1,454,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOLEDADE,"R$ 16.376,80"
2,455,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOLEDADE,"R$ 16.376,80"
3,456,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOLEDADE,"R$ 16.376,80"
4,477,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOLEDADE,"R$ 16.376,80"
5,478,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOLEDADE,"R$ 16.376,80"
6,479,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOLEDADE,"R$ 16.376,80"
7,480,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOLEDADE,"R$ 16.376,80"
8,387,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SOLEDADE,"R$ 10.479,00"
9,484,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SOLEDADE,"R$ 17.260,00"
10,485,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SOLEDADE,"R$ 17.260,00"
11,405,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SOLEDADE,"R$ 6.305,10"
12,406,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SOLEDADE,"R$ 6.305,10"
13,662,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SOLEDADE,"R$ 12.610,20"
14,484,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOLEDADE,"R$ 213.565,82"
15,567,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOLEDADE,"R$ 256.367,44"
