,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,51,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOSSÊGO,"R$ 5.795,40"
1,52,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOSSÊGO,"R$ 5.795,40"
2,81,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOSSÊGO,"R$ 5.795,40"
3,82,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOSSÊGO,"R$ 5.795,40"
4,83,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOSSÊGO,"R$ 5.795,40"
5,84,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOSSÊGO,"R$ 5.795,40"
6,99,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOSSÊGO,"R$ 5.795,40"
7,100,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOSSÊGO,"R$ 5.795,40"
8,101,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOSSÊGO,"R$ 5.795,40"
9,102,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOSSÊGO,"R$ 5.795,40"
10,75,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SOSSÊGO,"R$ 2.900,00"
11,134,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SOSSÊGO,"R$ 2.500,00"
12,135,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SOSSÊGO,"R$ 2.500,00"
13,159,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SOSSÊGO,"R$ 2.900,00"
14,234,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SOSSÊGO,"R$ 3.758,50"
15,235,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SOSSÊGO,"R$ 3.758,50"
16,236,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SOSSÊGO,"R$ 3.758,50"
17,237,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SOSSÊGO,"R$ 3.758,50"
18,242,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SOSSÊGO,"R$ 3.758,50"
19,243,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SOSSÊGO,"R$ 3.758,50"
20,244,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SOSSÊGO,"R$ 3.758,50"
21,245,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SOSSÊGO,"R$ 3.758,50"
22,120,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SOSSÊGO,"R$ 3.758,46"
23,121,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SOSSÊGO,"R$ 3.758,50"
24,56,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOSSÊGO,"R$ 71.130,79"
25,108,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOSSÊGO,"R$ 85.386,43"
26,126,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOSSÊGO,"R$ 88.539,59"
27,216,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOSSÊGO,"R$ 113.244,67"
28,61,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOSSÊGO,"R$ 68.849,87"
29,96,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOSSÊGO,"R$ 78.268,73"
30,141,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOSSÊGO,"R$ 89.436,97"
31,177,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOSSÊGO,"R$ 97.086,05"
32,64,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOSSÊGO,"R$ 65.705,78"
33,96,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOSSÊGO,"R$ 74.237,37"
34,114,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOSSÊGO,"R$ 76.805,16"
35,218,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOSSÊGO,"R$ 102.154,58"
