,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,350,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SUMÉ,"R$ 33.408,20"
1,351,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SUMÉ,"R$ 33.408,20"
2,638,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SUMÉ,"R$ 33.415,40"
3,639,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SUMÉ,"R$ 33.415,40"
4,640,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SUMÉ,"R$ 33.415,40"
5,641,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SUMÉ,"R$ 33.429,80"
6,669,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SUMÉ,"R$ 33.415,40"
7,670,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SUMÉ,"R$ 33.415,40"
8,671,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SUMÉ,"R$ 33.415,40"
9,23,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SUMÉ,"R$ 1.130,00"
10,376,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SUMÉ,"R$ 29.340,00"
11,32,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SUMÉ,"R$ 1.130,00"
12,385,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SUMÉ,"R$ 10.260,00"
13,653,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SUMÉ,"R$ 39.600,00"
14,487,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SUMÉ,"R$ 7.986,81"
15,488,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SUMÉ,"R$ 7.986,81"
16,489,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SUMÉ,"R$ 7.986,81"
17,490,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SUMÉ,"R$ 7.986,81"
18,497,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SUMÉ,"R$ 7.986,81"
19,498,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SUMÉ,"R$ 7.986,81"
20,499,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SUMÉ,"R$ 7.986,81"
21,500,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SUMÉ,"R$ 7.986,81"
22,250,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SUMÉ,"R$ 7.986,75"
23,251,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SUMÉ,"R$ 7.986,81"
24,653,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SUMÉ,"R$ 318.213,59"
25,713,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SUMÉ,"R$ 381.988,14"
26,726,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SUMÉ,"R$ 396.093,50"
27,786,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SUMÉ,"R$ 506.615,90"
28,668,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SUMÉ,"R$ 308.009,64"
29,708,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SUMÉ,"R$ 350.146,11"
30,748,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SUMÉ,"R$ 400.108,75"
31,771,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SUMÉ,"R$ 434.328,03"
32,673,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SUMÉ,"R$ 293.944,01"
33,708,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SUMÉ,"R$ 332.111,30"
