,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,385,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO BENTO,"R$ 48.588,80"
1,395,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO BENTO,"R$ 62.206,60"
2,757,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO BENTO,"R$ 62.206,60"
3,758,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO BENTO,"R$ 62.206,60"
4,759,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO BENTO,"R$ 62.206,60"
5,760,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO BENTO,"R$ 62.206,60"
6,755,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO BENTO,"R$ 48.588,80"
7,773,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO BENTO,"R$ 61.610,20"
8,777,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO BENTO,"R$ 62.107,20"
9,778,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO BENTO,"R$ 62.107,20"
10,83,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO BENTO,"R$ 3.190,00"
11,353,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO BENTO,"R$ 27.351,00"
12,448,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO BENTO,"R$ 58.020,00"
13,179,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO BENTO,"R$ 3.190,00"
14,619,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO BENTO,"R$ 31.990,00"
15,796,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO BENTO,"R$ 116.064,00"
16,801,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO BENTO,"R$ 125.010,00"
17,702,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO BENTO,"R$ 15.326,83"
18,703,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO BENTO,"R$ 15.326,83"
19,704,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO BENTO,"R$ 15.326,83"
20,705,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO BENTO,"R$ 15.326,83"
21,716,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO BENTO,"R$ 15.326,83"
22,717,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO BENTO,"R$ 15.326,83"
