,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,55,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO FRANCISCO,"R$ 5.941,20"
1,150,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO FRANCISCO,"R$ 9.874,60"
2,244,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO FRANCISCO,"R$ 9.874,60"
3,245,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO FRANCISCO,"R$ 9.874,60"
4,246,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO FRANCISCO,"R$ 9.874,60"
5,247,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO FRANCISCO,"R$ 9.874,60"
6,107,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO FRANCISCO,"R$ 5.941,20"
7,275,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO FRANCISCO,"R$ 9.874,60"
8,276,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO FRANCISCO,"R$ 9.874,60"
9,277,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO FRANCISCO,"R$ 9.874,60"
10,196,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO FRANCISCO,"R$ 10.330,00"
11,55,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO FRANCISCO,"R$ 1.430,00"
12,89,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO FRANCISCO,"R$ 1.820,00"
13,420,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO FRANCISCO,"R$ 12.150,00"
14,565,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO FRANCISCO,"R$ 25.572,00"
15,281,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO FRANCISCO,"R$ 4.322,21"
16,282,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO FRANCISCO,"R$ 4.322,21"
17,283,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO FRANCISCO,"R$ 4.322,21"
18,284,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO FRANCISCO,"R$ 4.322,21"
19,287,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO FRANCISCO,"R$ 4.322,21"
20,288,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO FRANCISCO,"R$ 4.322,21"
21,289,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO FRANCISCO,"R$ 4.322,21"
22,290,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO FRANCISCO,"R$ 4.322,21"
23,143,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO FRANCISCO,"R$ 4.322,17"
24,144,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO FRANCISCO,"R$ 4.322,21"
25,62,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO FRANCISCO,"R$ 73.005,79"
26,120,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO FRANCISCO,"R$ 87.637,21"
27,132,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO FRANCISCO,"R$ 90.876,08"
28,228,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO FRANCISCO,"R$ 116.229,79"
29,68,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO FRANCISCO,"R$ 70.664,77"
30,103,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO FRANCISCO,"R$ 80.331,86"
31,156,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO FRANCISCO,"R$ 91.794,49"
