,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,159,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DA LAGOA TAPADA,"R$ 10.570,80"
1,160,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DA LAGOA TAPADA,"R$ 10.570,80"
2,268,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DA LAGOA TAPADA,"R$ 10.570,80"
3,269,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DA LAGOA TAPADA,"R$ 10.570,80"
4,270,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DA LAGOA TAPADA,"R$ 10.570,80"
5,271,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DA LAGOA TAPADA,"R$ 10.570,80"
6,290,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DA LAGOA TAPADA,"R$ 10.570,80"
7,291,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DA LAGOA TAPADA,"R$ 10.570,80"
8,292,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DA LAGOA TAPADA,"R$ 10.570,80"
9,293,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DA LAGOA TAPADA,"R$ 10.570,80"
10,67,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO JOSÉ DA LAGOA TAPADA,"R$ 2.490,00"
11,257,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO JOSÉ DA LAGOA TAPADA,"R$ 16.580,00"
12,363,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO JOSÉ DA LAGOA TAPADA,"R$ 27.720,00"
