,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,87,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DO BONFIM,"R$ 7.117,80"
1,88,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DO BONFIM,"R$ 7.117,80"
2,135,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DO BONFIM,"R$ 7.117,80"
3,136,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DO BONFIM,"R$ 7.117,80"
4,137,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DO BONFIM,"R$ 7.117,80"
5,138,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DO BONFIM,"R$ 7.117,80"
6,158,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DO BONFIM,"R$ 7.117,80"
7,159,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DO BONFIM,"R$ 7.117,80"
8,131,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO JOSÉ DO BONFIM,"R$ 2.470,00"
9,132,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO JOSÉ DO BONFIM,"R$ 2.470,00"
10,668,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO JOSÉ DO BONFIM,"R$ 13.110,80"
11,90,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO BONFIM,"R$ 81.865,99"
12,153,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO BONFIM,"R$ 98.273,14"
13,166,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO BONFIM,"R$ 101.901,61"
14,267,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO BONFIM,"R$ 130.335,76"
15,97,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO BONFIM,"R$ 79.240,85"
16,144,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO BONFIM,"R$ 90.081,18"
17,197,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO BONFIM,"R$ 102.934,95"
18,237,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO BONFIM,"R$ 111.738,46"
19,104,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO BONFIM,"R$ 75.622,21"
20,145,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO BONFIM,"R$ 85.441,42"
21,161,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO BONFIM,"R$ 88.396,75"
22,278,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO BONFIM,"R$ 117.571,95"
23,79,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO BONFIM,"R$ 13.822,20"
24,80,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO BONFIM,"R$ 13.822,20"
25,392,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO BONFIM,"R$ 50.502,05"
26,119,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO BONFIM,"R$ 13.822,20"
27,120,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO BONFIM,"R$ 13.822,20"
28,121,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO BONFIM,"R$ 13.822,20"
29,401,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO BONFIM,"R$ 29.588,88"
30,43,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO BONFIM,"R$ 7.470,38"
31,146,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO BONFIM,"R$ 13.131,09"
32,351,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO BONFIM,"R$ 29.717,73"
33,76,12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES,SÃO JOSÉ DO BONFIM,"R$ 117.070,58"
34,9,20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA,SÃO JOSÉ DO BONFIM,"R$ 6.993,00"
35,65,20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA,SÃO JOSÉ DO BONFIM,"R$ 40.832,52"
