,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,4,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DO BREJO DO CRUZ,"R$ 3.665,40"
1,24,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DO BREJO DO CRUZ,"R$ 4.830,40"
2,124,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DO BREJO DO CRUZ,"R$ 6.960,40"
3,125,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DO BREJO DO CRUZ,"R$ 6.960,40"
4,126,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DO BREJO DO CRUZ,"R$ 6.960,40"
5,205,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DO BREJO DO CRUZ,"R$ 9.090,40"
6,50,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DO BREJO DO CRUZ,"R$ 4.830,40"
7,146,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DO BREJO DO CRUZ,"R$ 6.960,40"
8,147,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DO BREJO DO CRUZ,"R$ 6.960,40"
9,148,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DO BREJO DO CRUZ,"R$ 6.960,40"
10,39,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO JOSÉ DO BREJO DO CRUZ,"R$ 1.500,00"
11,147,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO JOSÉ DO BREJO DO CRUZ,"R$ 6.320,00"
12,62,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO JOSÉ DO BREJO DO CRUZ,"R$ 1.500,00"
13,73,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO JOSÉ DO BREJO DO CRUZ,"R$ 1.630,00"
14,424,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO JOSÉ DO BREJO DO CRUZ,"R$ 12.420,00"
15,495,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO JOSÉ DO BREJO DO CRUZ,"R$ 17.950,00"
16,48,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO JOSÉ DO BREJO DO CRUZ,"R$ 1.852,03"
