,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,7,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DOS CORDEIROS,"R$ 3.868,40"
1,8,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DOS CORDEIROS,"R$ 3.868,40"
2,14,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DOS CORDEIROS,"R$ 3.868,40"
3,15,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DOS CORDEIROS,"R$ 3.868,40"
4,16,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DOS CORDEIROS,"R$ 3.868,40"
5,17,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DOS CORDEIROS,"R$ 3.868,40"
6,14,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DOS CORDEIROS,"R$ 3.868,40"
7,15,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DOS CORDEIROS,"R$ 3.868,40"
8,16,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DOS CORDEIROS,"R$ 3.868,40"
9,17,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DOS CORDEIROS,"R$ 3.868,40"
10,56,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO JOSÉ DOS CORDEIROS,"R$ 2.070,00"
11,92,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO JOSÉ DOS CORDEIROS,"R$ 3.480,00"
12,262,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO JOSÉ DOS CORDEIROS,"R$ 16.800,00"
13,54,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO JOSÉ DOS CORDEIROS,"R$ 1.430,00"
14,196,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO JOSÉ DOS CORDEIROS,"R$ 3.480,00"
15,225,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO JOSÉ DOS CORDEIROS,"R$ 4.270,00"
16,503,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO JOSÉ DOS CORDEIROS,"R$ 18.970,00"
17,95,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO JOSÉ DOS CORDEIROS,"R$ 2.390,52"
18,96,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO JOSÉ DOS CORDEIROS,"R$ 2.390,52"
19,97,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO JOSÉ DOS CORDEIROS,"R$ 2.390,52"
20,98,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO JOSÉ DOS CORDEIROS,"R$ 2.390,52"
21,97,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO JOSÉ DOS CORDEIROS,"R$ 2.390,52"
22,98,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO JOSÉ DOS CORDEIROS,"R$ 2.390,52"
23,99,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO JOSÉ DOS CORDEIROS,"R$ 2.390,52"
24,100,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO JOSÉ DOS CORDEIROS,"R$ 2.390,52"
25,48,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO JOSÉ DOS CORDEIROS,"R$ 2.390,46"
