,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,173,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO MIGUEL DE TAIPU,"R$ 11.343,20"
1,257,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO MIGUEL DE TAIPU,"R$ 16.512,00"
2,459,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO MIGUEL DE TAIPU,"R$ 16.512,00"
3,460,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO MIGUEL DE TAIPU,"R$ 16.512,00"
4,461,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO MIGUEL DE TAIPU,"R$ 16.512,00"
5,462,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO MIGUEL DE TAIPU,"R$ 16.512,00"
6,22,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO MIGUEL DE TAIPU,"R$ 3.890,80"
7,322,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO MIGUEL DE TAIPU,"R$ 11.343,20"
8,323,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO MIGUEL DE TAIPU,"R$ 11.343,20"
9,665,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO MIGUEL DE TAIPU,"R$ 32.598,00"
10,172,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO MIGUEL DE TAIPU,"R$ 8.100,00"
11,25,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO MIGUEL DE TAIPU,"R$ 1.020,00"
12,26,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO MIGUEL DE TAIPU,"R$ 1.020,00"
13,412,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO MIGUEL DE TAIPU,"R$ 11.510,00"
14,593,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO MIGUEL DE TAIPU,"R$ 29.340,00"
15,772,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO MIGUEL DE TAIPU,"R$ 85.276,00"
16,401,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO MIGUEL DE TAIPU,"R$ 6.211,13"
17,402,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO MIGUEL DE TAIPU,"R$ 6.211,13"
18,403,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO MIGUEL DE TAIPU,"R$ 6.211,13"
19,404,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO MIGUEL DE TAIPU,"R$ 6.211,13"
20,413,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO MIGUEL DE TAIPU,"R$ 6.211,13"
21,414,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO MIGUEL DE TAIPU,"R$ 6.211,13"
22,649,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO MIGUEL DE TAIPU,"R$ 12.422,26"
23,208,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO MIGUEL DE TAIPU,"R$ 6.211,13"
24,209,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO MIGUEL DE TAIPU,"R$ 6.211,15"
25,343,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO MIGUEL DE TAIPU,"R$ 151.576,99"
26,418,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO MIGUEL DE TAIPU,"R$ 181.955,16"
27,429,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO MIGUEL DE TAIPU,"R$ 188.672,84"
28,542,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO MIGUEL DE TAIPU,"R$ 241.320,02"
29,351,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO MIGUEL DE TAIPU,"R$ 146.716,46"
30,405,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO MIGUEL DE TAIPU,"R$ 166.787,62"
31,465,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO MIGUEL DE TAIPU,"R$ 190.586,68"
32,498,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO MIGUEL DE TAIPU,"R$ 206.886,63"
33,352,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO MIGUEL DE TAIPU,"R$ 140.016,48"
34,406,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO MIGUEL DE TAIPU,"R$ 158.196,99"
35,417,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO MIGUEL DE TAIPU,"R$ 163.668,85"
36,552,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO MIGUEL DE TAIPU,"R$ 217.687,47"
37,216,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO MIGUEL DE TAIPU,"R$ 25.592,17"
38,217,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO MIGUEL DE TAIPU,"R$ 25.592,17"
39,517,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO MIGUEL DE TAIPU,"R$ 92.763,51"
40,340,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO MIGUEL DE TAIPU,"R$ 25.592,17"
41,341,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO MIGUEL DE TAIPU,"R$ 25.592,17"
42,342,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO MIGUEL DE TAIPU,"R$ 25.592,17"
43,649,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO MIGUEL DE TAIPU,"R$ 53.823,61"
44,159,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO MIGUEL DE TAIPU,"R$ 13.831,60"
45,298,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO MIGUEL DE TAIPU,"R$ 24.312,56"
46,505,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO MIGUEL DE TAIPU,"R$ 55.023,16"
47,39,20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA,SÃO MIGUEL DE TAIPU,"R$ 20.255,91"
