,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,314,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TAVARES,"R$ 24.589,40"
1,354,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TAVARES,"R$ 34.515,20"
2,647,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TAVARES,"R$ 34.515,20"
3,648,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TAVARES,"R$ 34.515,20"
4,649,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TAVARES,"R$ 34.515,20"
5,650,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TAVARES,"R$ 34.515,20"
6,600,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TAVARES,"R$ 24.589,40"
7,681,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TAVARES,"R$ 34.430,00"
8,682,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TAVARES,"R$ 34.501,00"
9,683,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TAVARES,"R$ 34.501,00"
10,201,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,TAVARES,"R$ 10.476,00"
11,399,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,TAVARES,"R$ 34.410,00"
12,438,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,TAVARES,"R$ 52.080,00"
13,337,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,TAVARES,"R$ 7.880,00"
14,437,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,TAVARES,"R$ 13.540,00"
15,769,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,TAVARES,"R$ 84.290,00"
16,770,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,TAVARES,"R$ 84.762,00"
17,633,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TAVARES,"R$ 12.444,62"
18,634,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TAVARES,"R$ 12.444,62"
19,635,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TAVARES,"R$ 12.444,62"
20,636,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TAVARES,"R$ 12.444,62"
21,650,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TAVARES,"R$ 12.444,62"
22,651,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TAVARES,"R$ 12.444,62"
23,652,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TAVARES,"R$ 12.444,62"
24,653,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TAVARES,"R$ 12.444,62"
25,323,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TAVARES,"R$ 12.444,58"
