,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,289,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),UIRAÚNA,"R$ 20.989,20"
1,316,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),UIRAÚNA,"R$ 24.695,40"
2,9,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),UIRAÚNA,"R$ 3.706,20"
3,576,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),UIRAÚNA,"R$ 24.695,40"
4,577,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),UIRAÚNA,"R$ 24.695,40"
5,713,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),UIRAÚNA,"R$ 45.684,60"
6,541,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),UIRAÚNA,"R$ 20.989,20"
7,542,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),UIRAÚNA,"R$ 20.989,20"
8,543,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),UIRAÚNA,"R$ 20.989,20"
9,544,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),UIRAÚNA,"R$ 20.989,20"
10,127,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,UIRAÚNA,"R$ 5.250,00"
11,130,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,UIRAÚNA,"R$ 5.420,00"
12,145,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,UIRAÚNA,"R$ 6.237,00"
13,319,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,UIRAÚNA,"R$ 23.770,00"
14,394,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,UIRAÚNA,"R$ 33.600,00"
15,267,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,UIRAÚNA,"R$ 5.420,00"
16,279,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,UIRAÚNA,"R$ 5.900,00"
17,441,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,UIRAÚNA,"R$ 13.866,00"
18,525,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,UIRAÚNA,"R$ 21.700,00"
19,741,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,UIRAÚNA,"R$ 67.870,00"
20,181,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,UIRAÚNA,"R$ 3.237,49"
21,182,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,UIRAÚNA,"R$ 3.237,49"
22,183,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,UIRAÚNA,"R$ 3.237,49"
