,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,4,00OW - APOIO A MANUTENCAO DA EDUCACAO INFANTIL,VIEIRÓPOLIS,"R$ 58.866,25"
1,48,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),VIEIRÓPOLIS,"R$ 5.702,40"
2,49,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),VIEIRÓPOLIS,"R$ 5.702,40"
3,73,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),VIEIRÓPOLIS,"R$ 5.702,40"
4,74,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),VIEIRÓPOLIS,"R$ 5.702,40"
5,75,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),VIEIRÓPOLIS,"R$ 5.702,40"
6,76,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),VIEIRÓPOLIS,"R$ 5.702,40"
7,92,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),VIEIRÓPOLIS,"R$ 5.702,40"
8,93,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),VIEIRÓPOLIS,"R$ 5.702,40"
9,94,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),VIEIRÓPOLIS,"R$ 5.702,40"
10,95,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),VIEIRÓPOLIS,"R$ 5.702,40"
11,64,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,VIEIRÓPOLIS,"R$ 2.430,00"
12,185,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,VIEIRÓPOLIS,"R$ 9.400,00"
13,126,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,VIEIRÓPOLIS,"R$ 2.430,00"
14,220,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,VIEIRÓPOLIS,"R$ 4.130,00"
15,436,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,VIEIRÓPOLIS,"R$ 13.530,00"
16,359,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,VIEIRÓPOLIS,"R$ 5.676,02"
17,360,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,VIEIRÓPOLIS,"R$ 5.676,02"
18,361,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,VIEIRÓPOLIS,"R$ 5.676,02"
19,362,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,VIEIRÓPOLIS,"R$ 5.676,02"
20,370,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,VIEIRÓPOLIS,"R$ 5.676,02"
21,371,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,VIEIRÓPOLIS,"R$ 5.676,02"
22,372,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,VIEIRÓPOLIS,"R$ 5.676,02"
23,373,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,VIEIRÓPOLIS,"R$ 5.676,02"
24,186,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,VIEIRÓPOLIS,"R$ 5.676,02"
25,187,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,VIEIRÓPOLIS,"R$ 5.676,06"
26,66,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VIEIRÓPOLIS,"R$ 73.526,03"
27,122,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VIEIRÓPOLIS,"R$ 88.261,71"
28,133,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VIEIRÓPOLIS,"R$ 91.522,97"
29,230,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VIEIRÓPOLIS,"R$ 117.058,01"
30,69,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VIEIRÓPOLIS,"R$ 71.168,32"
31,107,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VIEIRÓPOLIS,"R$ 80.904,29"
32,159,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VIEIRÓPOLIS,"R$ 92.448,64"
33,188,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VIEIRÓPOLIS,"R$ 100.355,28"
34,73,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VIEIRÓPOLIS,"R$ 67.918,34"
35,112,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VIEIRÓPOLIS,"R$ 76.737,21"
36,125,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VIEIRÓPOLIS,"R$ 79.391,48"
37,236,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VIEIRÓPOLIS,"R$ 105.594,50"
38,64,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VIEIRÓPOLIS,"R$ 12.414,09"
39,65,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VIEIRÓPOLIS,"R$ 12.414,09"
40,379,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VIEIRÓPOLIS,"R$ 48.567,98"
41,98,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VIEIRÓPOLIS,"R$ 12.414,09"
42,99,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VIEIRÓPOLIS,"R$ 12.414,09"
43,100,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VIEIRÓPOLIS,"R$ 12.414,09"
44,415,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VIEIRÓPOLIS,"R$ 30.730,81"
45,34,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VIEIRÓPOLIS,"R$ 6.709,36"
46,125,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VIEIRÓPOLIS,"R$ 11.793,38"
47,322,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VIEIRÓPOLIS,"R$ 26.690,29"
48,18,20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA,VIEIRÓPOLIS,"R$ 15.240,00"
