,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,264,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ÁGUA BRANCA,"R$ 17.516,20"
1,298,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ÁGUA BRANCA,"R$ 22.273,20"
2,538,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ÁGUA BRANCA,"R$ 22.273,20"
3,539,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ÁGUA BRANCA,"R$ 22.273,20"
4,540,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ÁGUA BRANCA,"R$ 22.273,20"
5,541,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ÁGUA BRANCA,"R$ 22.273,20"
6,493,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ÁGUA BRANCA,"R$ 17.516,20"
7,569,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ÁGUA BRANCA,"R$ 22.273,20"
8,570,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ÁGUA BRANCA,"R$ 22.273,20"
9,571,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ÁGUA BRANCA,"R$ 22.273,20"
10,194,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ÁGUA BRANCA,"R$ 10.140,00"
11,299,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ÁGUA BRANCA,"R$ 19.740,00"
12,397,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ÁGUA BRANCA,"R$ 33.600,00"
13,304,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ÁGUA BRANCA,"R$ 6.720,00"
14,320,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ÁGUA BRANCA,"R$ 7.390,00"
15,380,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ÁGUA BRANCA,"R$ 10.140,00"
16,670,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ÁGUA BRANCA,"R$ 44.292,00"
17,686,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ÁGUA BRANCA,"R$ 48.860,00"
18,523,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ÁGUA BRANCA,"R$ 8.735,79"
19,524,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ÁGUA BRANCA,"R$ 8.735,79"
20,525,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ÁGUA BRANCA,"R$ 8.735,79"
21,526,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ÁGUA BRANCA,"R$ 8.735,79"
22,534,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ÁGUA BRANCA,"R$ 8.735,79"
23,535,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ÁGUA BRANCA,"R$ 8.735,79"
24,536,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ÁGUA BRANCA,"R$ 8.735,79"
25,537,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ÁGUA BRANCA,"R$ 8.735,79"
26,267,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ÁGUA BRANCA,"R$ 8.735,79"
27,268,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ÁGUA BRANCA,"R$ 8.735,83"
28,561,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ÁGUA BRANCA,"R$ 252.957,08"
29,625,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ÁGUA BRANCA,"R$ 303.653,30"
30,647,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ÁGUA BRANCA,"R$ 314.868,42"
31,732,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ÁGUA BRANCA,"R$ 402.723,43"
32,573,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ÁGUA BRANCA,"R$ 244.845,67"
33,632,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ÁGUA BRANCA,"R$ 278.341,09"
34,678,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ÁGUA BRANCA,"R$ 318.057,86"
35,706,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ÁGUA BRANCA,"R$ 345.259,76"
36,577,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ÁGUA BRANCA,"R$ 233.664,49"
37,619,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ÁGUA BRANCA,"R$ 264.004,74"
38,629,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ÁGUA BRANCA,"R$ 273.136,41"
39,736,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ÁGUA BRANCA,"R$ 363.284,63"
40,341,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ÁGUA BRANCA,"R$ 42.709,11"
41,342,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ÁGUA BRANCA,"R$ 42.709,11"
42,594,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ÁGUA BRANCA,"R$ 160.670,97"
43,550,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ÁGUA BRANCA,"R$ 42.709,11"
44,551,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ÁGUA BRANCA,"R$ 42.709,11"
45,552,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ÁGUA BRANCA,"R$ 42.709,11"
46,782,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ÁGUA BRANCA,"R$ 97.413,54"
47,282,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ÁGUA BRANCA,"R$ 23.082,68"
48,437,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ÁGUA BRANCA,"R$ 40.573,66"
49,584,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ÁGUA BRANCA,"R$ 91.824,59"
