,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,593,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AGUA BRANCA,"R$ 21.436,00"
1,594,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AGUA BRANCA,"R$ 21.436,00"
2,595,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AGUA BRANCA,"R$ 21.436,00"
3,596,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AGUA BRANCA,"R$ 21.436,00"
4,434,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AGUA BRANCA,"R$ 21.436,00"
5,435,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AGUA BRANCA,"R$ 21.436,00"
6,436,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AGUA BRANCA,"R$ 21.436,00"
7,436,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AGUA BRANCA,"R$ 21.436,00"
8,437,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AGUA BRANCA,"R$ 21.436,00"
9,438,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AGUA BRANCA,"R$ 21.436,00"
10,9,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AGUA BRANCA,"R$ 5.100,00"
11,325,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AGUA BRANCA,"R$ 7.500,00"
12,404,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AGUA BRANCA,"R$ 10.770,00"
13,405,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AGUA BRANCA,"R$ 10.770,00"
14,609,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AGUA BRANCA,"R$ 29.450,00"
15,693,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AGUA BRANCA,"R$ 47.000,00"
