,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,719,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ARAÇAGI,"R$ 31.810,00"
1,720,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ARAÇAGI,"R$ 31.810,00"
2,721,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ARAÇAGI,"R$ 31.810,00"
3,722,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ARAÇAGI,"R$ 31.810,00"
4,525,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ARAÇAGI,"R$ 31.810,00"
5,526,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ARAÇAGI,"R$ 31.810,00"
6,527,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ARAÇAGI,"R$ 31.810,00"
7,529,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ARAÇAGI,"R$ 31.810,00"
8,530,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ARAÇAGI,"R$ 31.810,00"
9,531,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ARAÇAGI,"R$ 31.810,00"
10,14,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ARAÇAGI,"R$ 6.250,00"
11,724,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ARAÇAGI,"R$ 58.000,00"
12,730,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ARAÇAGI,"R$ 59.800,00"
13,746,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ARAÇAGI,"R$ 66.100,00"
14,860,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ARAÇAGI,"R$ 182.313,00"
15,655,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ARAÇAGI,"R$ 12.118,39"
16,656,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ARAÇAGI,"R$ 12.118,39"
17,657,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ARAÇAGI,"R$ 12.118,39"
18,658,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ARAÇAGI,"R$ 12.118,39"
19,475,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ARAÇAGI,"R$ 12.118,39"
20,476,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ARAÇAGI,"R$ 12.118,39"
21,477,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ARAÇAGI,"R$ 12.118,39"
