,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,674,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIA,"R$ 27.714,00"
1,675,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIA,"R$ 27.714,00"
2,676,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIA,"R$ 27.714,00"
3,677,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIA,"R$ 27.714,00"
4,493,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIA,"R$ 27.714,00"
5,494,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIA,"R$ 27.714,00"
6,495,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIA,"R$ 27.714,00"
7,496,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIA,"R$ 27.714,00"
8,497,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIA,"R$ 27.714,00"
9,498,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIA,"R$ 27.714,00"
10,78,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AREIA,"R$ 13.772,56"
11,175,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AREIA,"R$ 99.170,00"
12,320,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AREIA,"R$ 7.500,00"
13,363,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AREIA,"R$ 9.510,00"
14,364,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AREIA,"R$ 9.510,00"
15,589,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AREIA,"R$ 26.970,00"
16,752,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AREIA,"R$ 69.460,00"
17,896,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AREIA,"R$ 473.776,00"
18,719,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AREIA,"R$ 14.842,94"
19,720,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AREIA,"R$ 14.842,94"
20,721,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AREIA,"R$ 14.842,94"
21,722,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AREIA,"R$ 14.842,94"
22,518,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AREIA,"R$ 14.842,94"
23,519,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AREIA,"R$ 14.842,94"
24,520,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AREIA,"R$ 14.842,94"
25,515,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AREIA,"R$ 14.842,90"
26,516,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AREIA,"R$ 14.842,94"
27,517,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AREIA,"R$ 14.842,94"
