,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,449,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIAL,"R$ 14.858,00"
1,450,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIAL,"R$ 14.858,00"
2,451,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIAL,"R$ 14.858,00"
3,452,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIAL,"R$ 14.858,00"
4,328,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIAL,"R$ 14.858,00"
5,330,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIAL,"R$ 14.858,00"
6,331,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIAL,"R$ 14.858,00"
7,328,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIAL,"R$ 14.858,00"
8,329,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIAL,"R$ 14.858,00"
9,331,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIAL,"R$ 14.858,00"
10,582,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AREIAL,"R$ 26.450,00"
11,712,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AREIAL,"R$ 52.920,00"
12,411,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AREIAL,"R$ 5.991,61"
13,412,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AREIAL,"R$ 5.991,61"
14,413,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AREIAL,"R$ 5.991,61"
15,414,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AREIAL,"R$ 5.991,61"
16,298,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AREIAL,"R$ 5.991,61"
17,299,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AREIAL,"R$ 5.991,61"
18,300,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AREIAL,"R$ 5.991,61"
19,300,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AREIAL,"R$ 5.991,61"
20,301,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AREIAL,"R$ 5.991,61"
21,302,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AREIAL,"R$ 5.991,61"
22,365,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AREIAL,"R$ 154.671,68"
23,438,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AREIAL,"R$ 183.797,84"
24,484,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AREIAL,"R$ 203.370,52"
25,580,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AREIAL,"R$ 254.343,08"
26,349,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AREIAL,"R$ 146.444,88"
27,448,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AREIAL,"R$ 181.541,34"
28,494,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AREIAL,"R$ 201.843,44"
29,578,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AREIAL,"R$ 244.317,96"
30,261,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AREIAL,"R$ 147.716,11"
31,342,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AREIAL,"R$ 178.976,80"
