,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,317,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BAIA DA TRAICAO,"R$ 24.911,40"
1,318,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BAIA DA TRAICAO,"R$ 24.911,40"
2,578,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BAIA DA TRAICAO,"R$ 24.911,40"
3,579,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BAIA DA TRAICAO,"R$ 24.911,40"
4,580,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BAIA DA TRAICAO,"R$ 24.911,40"
5,604,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BAIA DA TRAICAO,"R$ 24.911,40"
6,605,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BAIA DA TRAICAO,"R$ 24.911,40"
7,327,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BAIA DA TRAICAO,"R$ 25.200,00"
8,154,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BAIA DA TRAICAO,"R$ 2.830,00"
9,156,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BAIA DA TRAICAO,"R$ 2.830,00"
10,383,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BAIA DA TRAICAO,"R$ 10.227,00"
11,642,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BAIA DA TRAICAO,"R$ 37.660,00"
12,706,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BAIA DA TRAICAO,"R$ 54.460,00"
13,588,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BAIA DA TRAICAO,"R$ 11.178,44"
14,589,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BAIA DA TRAICAO,"R$ 11.178,44"
15,590,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BAIA DA TRAICAO,"R$ 11.178,44"
16,591,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BAIA DA TRAICAO,"R$ 11.178,44"
17,601,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BAIA DA TRAICAO,"R$ 11.178,44"
18,602,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BAIA DA TRAICAO,"R$ 11.178,44"
19,603,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BAIA DA TRAICAO,"R$ 11.178,44"
20,604,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BAIA DA TRAICAO,"R$ 11.178,44"
21,298,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BAIA DA TRAICAO,"R$ 11.178,43"
22,299,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BAIA DA TRAICAO,"R$ 11.178,44"
23,540,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BAIA DA TRAICAO,"R$ 239.826,65"
24,614,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BAIA DA TRAICAO,"R$ 287.891,33"
25,623,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BAIA DA TRAICAO,"R$ 298.520,59"
26,712,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BAIA DA TRAICAO,"R$ 381.818,98"
27,549,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BAIA DA TRAICAO,"R$ 232.136,28"
28,609,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BAIA DA TRAICAO,"R$ 263.893,07"
29,665,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BAIA DA TRAICAO,"R$ 301.548,22"
30,688,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BAIA DA TRAICAO,"R$ 327.338,11"
31,559,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BAIA DA TRAICAO,"R$ 221.535,50"
32,607,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BAIA DA TRAICAO,"R$ 250.300,89"
33,616,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BAIA DA TRAICAO,"R$ 258.958,53"
