,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,218,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BARAÚNA,"R$ 8.846,00"
1,219,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BARAÚNA,"R$ 8.846,00"
2,220,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BARAÚNA,"R$ 8.846,00"
3,221,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BARAÚNA,"R$ 8.846,00"
4,161,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BARAÚNA,"R$ 8.846,00"
5,162,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BARAÚNA,"R$ 8.846,00"
6,163,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BARAÚNA,"R$ 8.846,00"
7,160,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BARAÚNA,"R$ 8.846,00"
8,161,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BARAÚNA,"R$ 8.846,00"
9,162,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BARAÚNA,"R$ 8.846,00"
10,36,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BARAÚNA,"R$ 8.300,00"
11,494,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BARAÚNA,"R$ 16.310,00"
12,632,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BARAÚNA,"R$ 32.387,00"
13,240,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BARAÚNA,"R$ 3.867,00"
