,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,428,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BARRA DE SANTANA,"R$ 13.832,00"
1,429,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BARRA DE SANTANA,"R$ 13.832,00"
2,430,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BARRA DE SANTANA,"R$ 13.832,00"
3,431,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BARRA DE SANTANA,"R$ 13.832,00"
4,314,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BARRA DE SANTANA,"R$ 13.832,00"
5,315,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BARRA DE SANTANA,"R$ 13.832,00"
6,316,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BARRA DE SANTANA,"R$ 13.832,00"
7,312,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BARRA DE SANTANA,"R$ 13.832,00"
8,313,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BARRA DE SANTANA,"R$ 13.832,00"
9,314,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BARRA DE SANTANA,"R$ 13.832,00"
10,72,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BARRA DE SANTANA,"R$ 12.152,21"
11,132,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BARRA DE SANTANA,"R$ 30.800,00"
12,287,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BARRA DE SANTANA,"R$ 6.480,00"
13,288,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BARRA DE SANTANA,"R$ 6.480,00"
14,324,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BARRA DE SANTANA,"R$ 7.500,00"
15,592,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BARRA DE SANTANA,"R$ 27.130,00"
16,802,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BARRA DE SANTANA,"R$ 96.000,00"
17,839,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BARRA DE SANTANA,"R$ 139.740,00"
18,627,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BARRA DE SANTANA,"R$ 11.399,85"
19,628,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BARRA DE SANTANA,"R$ 11.399,85"
20,629,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BARRA DE SANTANA,"R$ 11.399,85"
21,630,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BARRA DE SANTANA,"R$ 11.399,85"
22,454,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BARRA DE SANTANA,"R$ 11.399,85"
23,455,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BARRA DE SANTANA,"R$ 11.399,85"
24,456,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BARRA DE SANTANA,"R$ 11.399,85"
25,453,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BARRA DE SANTANA,"R$ 11.399,85"
26,454,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BARRA DE SANTANA,"R$ 11.399,85"
27,455,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BARRA DE SANTANA,"R$ 11.399,85"
28,433,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BARRA DE SANTANA,"R$ 181.491,72"
29,516,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BARRA DE SANTANA,"R$ 215.668,34"
30,555,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BARRA DE SANTANA,"R$ 238.630,26"
31,644,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BARRA DE SANTANA,"R$ 298.446,16"
32,427,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BARRA DE SANTANA,"R$ 171.838,40"
33,519,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BARRA DE SANTANA,"R$ 213.020,56"
34,562,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BARRA DE SANTANA,"R$ 236.843,09"
35,643,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BARRA DE SANTANA,"R$ 286.682,65"
36,329,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BARRA DE SANTANA,"R$ 173.330,06"
37,415,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BARRA DE SANTANA,"R$ 210.011,35"
38,637,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BARRA DE SANTANA,"R$ 377.864,41"
39,700,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BARRA DE SANTANA,"R$ 456.064,10"
40,417,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BARRA DE SANTANA,"R$ 27.622,08"
41,418,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BARRA DE SANTANA,"R$ 27.622,08"
