,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,658,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BAÍA DA TRAIÇÃO,"R$ 26.126,00"
1,659,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BAÍA DA TRAIÇÃO,"R$ 26.126,00"
2,660,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BAÍA DA TRAIÇÃO,"R$ 26.126,00"
3,661,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BAÍA DA TRAIÇÃO,"R$ 26.126,00"
4,480,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BAÍA DA TRAIÇÃO,"R$ 26.126,00"
5,481,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BAÍA DA TRAIÇÃO,"R$ 26.126,00"
6,482,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BAÍA DA TRAIÇÃO,"R$ 26.126,00"
7,483,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BAÍA DA TRAIÇÃO,"R$ 26.126,00"
8,484,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BAÍA DA TRAIÇÃO,"R$ 26.126,00"
9,485,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BAÍA DA TRAIÇÃO,"R$ 26.126,00"
10,459,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BAÍA DA TRAIÇÃO,"R$ 13.100,00"
11,726,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BAÍA DA TRAIÇÃO,"R$ 58.766,00"
12,589,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BAÍA DA TRAIÇÃO,"R$ 10.258,77"
13,590,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BAÍA DA TRAIÇÃO,"R$ 10.258,77"
14,591,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BAÍA DA TRAIÇÃO,"R$ 10.258,77"
15,592,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BAÍA DA TRAIÇÃO,"R$ 10.258,77"
16,428,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BAÍA DA TRAIÇÃO,"R$ 10.258,77"
17,429,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BAÍA DA TRAIÇÃO,"R$ 10.258,77"
18,430,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BAÍA DA TRAIÇÃO,"R$ 10.258,77"
19,429,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BAÍA DA TRAIÇÃO,"R$ 10.258,77"
20,430,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BAÍA DA TRAIÇÃO,"R$ 10.258,77"
21,431,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BAÍA DA TRAIÇÃO,"R$ 10.258,83"
