,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,633,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BELÉM,"R$ 24.722,00"
1,634,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BELÉM,"R$ 24.722,00"
2,635,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BELÉM,"R$ 24.722,00"
3,636,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BELÉM,"R$ 24.722,00"
4,462,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BELÉM,"R$ 24.722,00"
5,463,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BELÉM,"R$ 24.722,00"
6,464,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BELÉM,"R$ 24.722,00"
7,464,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BELÉM,"R$ 24.722,00"
8,465,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BELÉM,"R$ 24.722,00"
9,466,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BELÉM,"R$ 24.722,00"
10,94,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BELÉM,"R$ 16.600,01"
11,512,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BELÉM,"R$ 18.000,00"
12,513,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BELÉM,"R$ 18.100,00"
13,701,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BELÉM,"R$ 49.700,00"
14,856,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BELÉM,"R$ 175.778,00"
15,323,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BELÉM,"R$ 4.877,75"
16,324,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BELÉM,"R$ 4.877,75"
17,325,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BELÉM,"R$ 4.877,75"
18,326,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BELÉM,"R$ 4.877,75"
19,234,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BELÉM,"R$ 4.877,75"
20,417,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BELÉM,"R$ 9.755,50"
21,233,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BELÉM,"R$ 4.877,75"
22,234,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BELÉM,"R$ 4.877,75"
23,235,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BELÉM,"R$ 4.877,79"
24,526,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BELÉM,"R$ 221.638,40"
25,598,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BELÉM,"R$ 263.375,03"
26,638,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BELÉM,"R$ 291.425,10"
27,716,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BELÉM,"R$ 364.463,59"
28,516,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BELÉM,"R$ 209.849,72"
29,605,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BELÉM,"R$ 260.141,56"
30,645,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BELÉM,"R$ 289.233,69"
31,714,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BELÉM,"R$ 350.097,94"
32,419,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BELÉM,"R$ 211.671,34"
33,498,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BELÉM,"R$ 256.466,71"
