,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,565,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BERNARDINO BATISTA,"R$ 19.584,00"
1,566,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BERNARDINO BATISTA,"R$ 19.584,00"
2,567,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BERNARDINO BATISTA,"R$ 19.584,00"
3,568,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BERNARDINO BATISTA,"R$ 19.584,00"
4,413,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BERNARDINO BATISTA,"R$ 19.584,00"
5,414,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BERNARDINO BATISTA,"R$ 19.584,00"
6,415,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BERNARDINO BATISTA,"R$ 19.584,00"
7,415,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BERNARDINO BATISTA,"R$ 19.584,00"
8,416,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BERNARDINO BATISTA,"R$ 19.584,00"
9,417,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BERNARDINO BATISTA,"R$ 19.584,00"
10,6,0509 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA,BERNARDINO BATISTA,"R$ 70.042,87"
11,89,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BERNARDINO BATISTA,"R$ 16.250,00"
12,42,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BERNARDINO BATISTA,"R$ 1.140,00"
13,43,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BERNARDINO BATISTA,"R$ 1.140,00"
14,551,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BERNARDINO BATISTA,"R$ 21.550,00"
15,578,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BERNARDINO BATISTA,"R$ 25.700,00"
16,772,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BERNARDINO BATISTA,"R$ 81.000,00"
17,439,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BERNARDINO BATISTA,"R$ 6.457,99"
18,440,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BERNARDINO BATISTA,"R$ 6.457,99"
19,441,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BERNARDINO BATISTA,"R$ 6.457,99"
20,442,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BERNARDINO BATISTA,"R$ 6.457,99"
21,320,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BERNARDINO BATISTA,"R$ 6.457,99"
22,321,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BERNARDINO BATISTA,"R$ 6.457,99"
23,322,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BERNARDINO BATISTA,"R$ 6.457,99"
24,321,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BERNARDINO BATISTA,"R$ 6.457,99"
25,322,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BERNARDINO BATISTA,"R$ 6.457,99"
26,323,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BERNARDINO BATISTA,"R$ 6.458,01"
27,363,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BERNARDINO BATISTA,"R$ 154.218,88"
28,436,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BERNARDINO BATISTA,"R$ 183.259,77"
29,483,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BERNARDINO BATISTA,"R$ 202.772,67"
30,579,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BERNARDINO BATISTA,"R$ 253.598,50"
31,348,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BERNARDINO BATISTA,"R$ 146.016,17"
32,444,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BERNARDINO BATISTA,"R$ 181.009,90"
33,491,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BERNARDINO BATISTA,"R$ 201.252,55"
34,577,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BERNARDINO BATISTA,"R$ 243.602,73"
