,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,368,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOA VISTA,"R$ 11.878,00"
1,369,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOA VISTA,"R$ 11.878,00"
2,370,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOA VISTA,"R$ 11.878,00"
3,371,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOA VISTA,"R$ 11.878,00"
4,271,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOA VISTA,"R$ 11.878,00"
5,272,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOA VISTA,"R$ 11.878,00"
6,273,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOA VISTA,"R$ 11.878,00"
7,270,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOA VISTA,"R$ 11.878,00"
8,271,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOA VISTA,"R$ 11.878,00"
9,272,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOA VISTA,"R$ 11.878,00"
10,46,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BOA VISTA,"R$ 8.750,00"
11,231,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BOA VISTA,"R$ 5.130,00"
12,232,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BOA VISTA,"R$ 5.130,00"
13,437,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BOA VISTA,"R$ 12.000,00"
14,454,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BOA VISTA,"R$ 13.000,00"
15,547,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BOA VISTA,"R$ 20.830,00"
16,653,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BOA VISTA,"R$ 37.950,00"
17,532,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOA VISTA,"R$ 8.033,77"
18,533,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOA VISTA,"R$ 8.033,77"
19,534,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOA VISTA,"R$ 8.033,77"
20,535,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOA VISTA,"R$ 8.033,77"
