,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,173,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOM SUCESSO,"R$ 7.486,00"
1,174,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOM SUCESSO,"R$ 7.486,00"
2,175,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOM SUCESSO,"R$ 7.486,00"
3,176,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOM SUCESSO,"R$ 7.486,00"
4,124,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOM SUCESSO,"R$ 7.486,00"
5,125,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOM SUCESSO,"R$ 7.486,00"
6,126,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOM SUCESSO,"R$ 7.486,00"
7,127,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOM SUCESSO,"R$ 7.486,00"
8,128,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOM SUCESSO,"R$ 7.486,00"
9,129,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOM SUCESSO,"R$ 7.486,00"
10,104,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BOM SUCESSO,"R$ 2.340,00"
11,106,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BOM SUCESSO,"R$ 2.340,00"
12,297,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BOM SUCESSO,"R$ 6.500,00"
13,408,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BOM SUCESSO,"R$ 11.230,00"
14,671,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BOM SUCESSO,"R$ 41.000,00"
15,691,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BOM SUCESSO,"R$ 46.000,00"
16,310,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOM SUCESSO,"R$ 4.644,25"
17,311,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOM SUCESSO,"R$ 4.644,25"
18,312,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOM SUCESSO,"R$ 4.644,25"
19,313,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOM SUCESSO,"R$ 4.644,25"
20,224,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOM SUCESSO,"R$ 4.644,25"
21,225,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOM SUCESSO,"R$ 4.644,25"
22,226,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOM SUCESSO,"R$ 4.644,25"
23,224,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOM SUCESSO,"R$ 4.644,23"
24,225,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOM SUCESSO,"R$ 4.644,25"
25,226,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOM SUCESSO,"R$ 4.644,25"
26,48,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BOM SUCESSO,"R$ 63.697,04"
27,89,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BOM SUCESSO,"R$ 75.691,81"
28,118,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BOM SUCESSO,"R$ 83.750,60"
29,201,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BOM SUCESSO,"R$ 104.743,82"
30,42,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BOM SUCESSO,"R$ 60.309,07"
31,93,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BOM SUCESSO,"R$ 74.762,54"
32,125,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BOM SUCESSO,"R$ 83.123,36"
33,202,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BOM SUCESSO,"R$ 100.615,24"
