,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,388,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BONITO DE SANTA FÉ,"R$ 12.218,00"
1,389,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BONITO DE SANTA FÉ,"R$ 12.218,00"
2,390,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BONITO DE SANTA FÉ,"R$ 12.218,00"
3,391,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BONITO DE SANTA FÉ,"R$ 12.218,00"
4,285,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BONITO DE SANTA FÉ,"R$ 12.218,00"
5,286,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BONITO DE SANTA FÉ,"R$ 12.218,00"
6,287,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BONITO DE SANTA FÉ,"R$ 12.218,00"
7,285,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BONITO DE SANTA FÉ,"R$ 12.218,00"
8,286,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BONITO DE SANTA FÉ,"R$ 12.218,00"
9,287,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BONITO DE SANTA FÉ,"R$ 12.218,00"
10,26,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BONITO DE SANTA FÉ,"R$ 6.250,00"
11,302,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BONITO DE SANTA FÉ,"R$ 6.500,00"
12,399,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BONITO DE SANTA FÉ,"R$ 10.310,00"
