,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,747,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOQUEIRÃO,"R$ 33.940,00"
1,748,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOQUEIRÃO,"R$ 33.940,00"
2,749,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOQUEIRÃO,"R$ 33.940,00"
3,750,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOQUEIRÃO,"R$ 33.940,00"
4,545,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOQUEIRÃO,"R$ 33.940,00"
5,546,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOQUEIRÃO,"R$ 33.940,00"
6,547,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOQUEIRÃO,"R$ 33.940,00"
7,549,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOQUEIRÃO,"R$ 33.940,00"
8,550,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOQUEIRÃO,"R$ 33.940,00"
9,551,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOQUEIRÃO,"R$ 33.940,00"
10,1,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BOQUEIRÃO,"R$ 327,04"
11,142,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BOQUEIRÃO,"R$ 34.970,00"
12,489,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BOQUEIRÃO,"R$ 15.610,00"
13,677,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BOQUEIRÃO,"R$ 42.244,00"
