,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,238,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BREJO DOS SANTOS,"R$ 9.084,00"
1,239,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BREJO DOS SANTOS,"R$ 9.084,00"
2,240,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BREJO DOS SANTOS,"R$ 9.084,00"
3,241,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BREJO DOS SANTOS,"R$ 9.084,00"
4,175,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BREJO DOS SANTOS,"R$ 9.084,00"
5,176,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BREJO DOS SANTOS,"R$ 9.084,00"
6,177,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BREJO DOS SANTOS,"R$ 9.084,00"
7,173,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BREJO DOS SANTOS,"R$ 9.084,00"
8,174,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BREJO DOS SANTOS,"R$ 9.084,00"
9,175,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BREJO DOS SANTOS,"R$ 9.084,00"
10,18,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BREJO DOS SANTOS,"R$ 870,00"
11,21,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BREJO DOS SANTOS,"R$ 870,00"
12,514,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BREJO DOS SANTOS,"R$ 18.200,00"
13,575,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BREJO DOS SANTOS,"R$ 25.000,00"
14,661,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BREJO DOS SANTOS,"R$ 39.325,00"
15,157,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BREJO DOS SANTOS,"R$ 2.846,18"
16,158,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BREJO DOS SANTOS,"R$ 2.846,18"
17,159,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BREJO DOS SANTOS,"R$ 2.846,18"
18,160,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BREJO DOS SANTOS,"R$ 2.846,18"
19,115,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BREJO DOS SANTOS,"R$ 2.846,18"
20,116,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BREJO DOS SANTOS,"R$ 2.846,18"
21,117,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BREJO DOS SANTOS,"R$ 2.846,18"
22,114,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BREJO DOS SANTOS,"R$ 2.846,10"
23,115,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BREJO DOS SANTOS,"R$ 2.846,18"
24,116,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BREJO DOS SANTOS,"R$ 2.846,18"
25,194,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BREJO DOS SANTOS,"R$ 103.095,40"
26,264,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BREJO DOS SANTOS,"R$ 122.509,23"
27,310,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BREJO DOS SANTOS,"R$ 135.555,42"
28,401,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BREJO DOS SANTOS,"R$ 169.530,72"
29,182,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BREJO DOS SANTOS,"R$ 97.611,87"
30,273,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BREJO DOS SANTOS,"R$ 121.005,20"
31,315,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BREJO DOS SANTOS,"R$ 134.537,43"
32,395,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BREJO DOS SANTOS,"R$ 162.848,53"
33,134,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BREJO DOS SANTOS,"R$ 98.459,21"
34,189,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BREJO DOS SANTOS,"R$ 119.295,81"
35,422,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BREJO DOS SANTOS,"R$ 214.643,83"
36,499,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BREJO DOS SANTOS,"R$ 259.064,74"
37,211,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BREJO DOS SANTOS,"R$ 15.690,57"
38,212,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BREJO DOS SANTOS,"R$ 15.690,57"
39,213,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BREJO DOS SANTOS,"R$ 15.690,57"
40,684,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BREJO DOS SANTOS,"R$ 66.896,68"
41,162,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BREJO DOS SANTOS,"R$ 15.680,25"
42,163,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BREJO DOS SANTOS,"R$ 15.680,25"
43,439,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BREJO DOS SANTOS,"R$ 30.359,55"
44,455,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BREJO DOS SANTOS,"R$ 31.381,14"
45,213,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BREJO DOS SANTOS,"R$ 15.680,25"
46,214,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BREJO DOS SANTOS,"R$ 15.680,25"
47,215,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BREJO DOS SANTOS,"R$ 15.680,25"
48,589,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BREJO DOS SANTOS,"R$ 40.281,26"
49,112,12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES,BREJO DOS SANTOS,"R$ 102.000,00"
50,77,8790 - APOIO A ALFABETIZACAO E A EDUCACAO DE JOVENS E ADULTOS,BREJO DOS SANTOS,"R$ 74.260,43"
