,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,802,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAAPORA,"R$ 50.352,00"
1,803,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAAPORA,"R$ 50.352,00"
2,804,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAAPORA,"R$ 50.352,00"
3,805,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAAPORA,"R$ 50.352,00"
4,588,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAAPORA,"R$ 50.352,00"
5,589,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAAPORA,"R$ 50.352,00"
6,590,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAAPORA,"R$ 50.352,00"
7,590,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAAPORA,"R$ 50.352,00"
8,591,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAAPORA,"R$ 50.352,00"
9,592,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAAPORA,"R$ 50.352,00"
10,149,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CAAPORA,"R$ 38.750,00"
11,34,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CAAPORA,"R$ 1.020,00"
12,35,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CAAPORA,"R$ 1.020,00"
13,471,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CAAPORA,"R$ 14.000,00"
14,753,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CAAPORA,"R$ 70.110,00"
15,892,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CAAPORA,"R$ 340.967,00"
16,447,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAAPORA,"R$ 6.508,28"
17,448,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAAPORA,"R$ 6.508,28"
18,449,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAAPORA,"R$ 6.508,28"
19,450,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAAPORA,"R$ 6.508,28"
20,326,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAAPORA,"R$ 6.508,28"
21,327,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAAPORA,"R$ 6.508,28"
22,328,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAAPORA,"R$ 6.508,28"
23,327,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAAPORA,"R$ 6.508,26"
24,328,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAAPORA,"R$ 6.508,28"
25,329,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAAPORA,"R$ 6.508,28"
26,790,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAAPORA,"R$ 491.959,94"
27,816,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAAPORA,"R$ 584.600,73"
28,827,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAAPORA,"R$ 646.850,08"
29,850,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAAPORA,"R$ 808.982,04"
30,785,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAAPORA,"R$ 465.793,20"
31,817,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAAPORA,"R$ 577.423,56"
32,832,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAAPORA,"R$ 641.997,93"
33,848,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAAPORA,"R$ 777.095,40"
34,709,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAAPORA,"R$ 469.836,55"
35,752,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAAPORA,"R$ 569.266,56"
36,846,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAAPORA,"R$ 1.024.256,89"
37,855,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAAPORA,"R$ 1.236.228,57"
38,705,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAAPORA,"R$ 74.873,69"
39,706,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAAPORA,"R$ 74.873,69"
40,707,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAAPORA,"R$ 74.873,69"
41,868,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAAPORA,"R$ 310.286,93"
42,744,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAAPORA,"R$ 74.824,46"
43,745,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAAPORA,"R$ 74.824,46"
44,845,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAAPORA,"R$ 139.573,95"
45,848,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAAPORA,"R$ 149.747,38"
46,763,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAAPORA,"R$ 74.824,46"
47,764,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAAPORA,"R$ 74.824,46"
48,765,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAAPORA,"R$ 74.824,46"
49,866,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAAPORA,"R$ 192.217,81"
50,363,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAAPORA,"R$ 37.320,60"
51,391,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAAPORA,"R$ 58.833,60"
52,744,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAAPORA,"R$ 58.833,60"
53,745,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAAPORA,"R$ 58.833,60"
54,746,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAAPORA,"R$ 58.833,60"
55,747,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAAPORA,"R$ 58.833,60"
56,699,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAAPORA,"R$ 37.320,60"
