,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,314,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CABACEIRAS,"R$ 10.356,00"
1,315,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CABACEIRAS,"R$ 10.356,00"
2,316,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CABACEIRAS,"R$ 10.356,00"
3,317,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CABACEIRAS,"R$ 10.356,00"
4,232,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CABACEIRAS,"R$ 10.356,00"
5,233,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CABACEIRAS,"R$ 10.356,00"
6,234,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CABACEIRAS,"R$ 10.356,00"
7,230,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CABACEIRAS,"R$ 10.356,00"
8,231,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CABACEIRAS,"R$ 10.356,00"
9,232,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CABACEIRAS,"R$ 10.356,00"
10,4,0509 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA,CABACEIRAS,"R$ 47.880,00"
11,153,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CABACEIRAS,"R$ 42.150,00"
12,8,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CABACEIRAS,"R$ 540,00"
13,9,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CABACEIRAS,"R$ 540,00"
14,493,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CABACEIRAS,"R$ 16.290,00"
15,510,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CABACEIRAS,"R$ 18.000,00"
16,761,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CABACEIRAS,"R$ 73.503,00"
17,443,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CABACEIRAS,"R$ 6.480,64"
18,444,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CABACEIRAS,"R$ 6.480,64"
19,445,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CABACEIRAS,"R$ 6.480,64"
20,446,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CABACEIRAS,"R$ 6.480,64"
21,323,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CABACEIRAS,"R$ 6.480,64"
22,324,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CABACEIRAS,"R$ 6.480,64"
23,325,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CABACEIRAS,"R$ 6.480,64"
24,324,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CABACEIRAS,"R$ 6.480,64"
25,325,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CABACEIRAS,"R$ 6.480,64"
26,326,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CABACEIRAS,"R$ 6.480,66"
27,171,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CABACEIRAS,"R$ 96.899,18"
28,240,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CABACEIRAS,"R$ 115.146,22"
29,286,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CABACEIRAS,"R$ 127.407,40"
