,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,858,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CABEDELO,"R$ 90.334,00"
1,859,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CABEDELO,"R$ 90.334,00"
2,860,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CABEDELO,"R$ 90.334,00"
3,861,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CABEDELO,"R$ 90.334,00"
4,628,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CABEDELO,"R$ 90.334,00"
5,629,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CABEDELO,"R$ 90.334,00"
6,630,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CABEDELO,"R$ 90.334,00"
7,632,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CABEDELO,"R$ 90.334,00"
8,633,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CABEDELO,"R$ 90.334,00"
9,634,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CABEDELO,"R$ 90.334,00"
10,173,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CABEDELO,"R$ 87.250,00"
11,185,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CABEDELO,"R$ 323.114,41"
12,381,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CABEDELO,"R$ 10.000,00"
13,803,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CABEDELO,"R$ 100.680,00"
14,900,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CABEDELO,"R$ 529.482,00"
15,8,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CABEDELO,"R$ 386,39"
16,9,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CABEDELO,"R$ 386,39"
17,10,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CABEDELO,"R$ 386,39"
18,11,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CABEDELO,"R$ 386,39"
19,5,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CABEDELO,"R$ 509,45"
20,12,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CABEDELO,"R$ 692,84"
