,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,712,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CACIMBA DE DENTRO,"R$ 31.544,00"
1,713,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CACIMBA DE DENTRO,"R$ 31.544,00"
2,714,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CACIMBA DE DENTRO,"R$ 31.544,00"
3,715,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CACIMBA DE DENTRO,"R$ 31.544,00"
4,520,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CACIMBA DE DENTRO,"R$ 31.544,00"
5,521,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CACIMBA DE DENTRO,"R$ 31.544,00"
6,522,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CACIMBA DE DENTRO,"R$ 31.544,00"
7,523,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CACIMBA DE DENTRO,"R$ 31.544,00"
8,524,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CACIMBA DE DENTRO,"R$ 31.544,00"
9,525,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CACIMBA DE DENTRO,"R$ 31.544,00"
10,6,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CACIMBA DE DENTRO,"R$ 3.820,00"
11,366,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CACIMBA DE DENTRO,"R$ 9.690,00"
12,684,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CACIMBA DE DENTRO,"R$ 45.180,00"
13,297,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CACIMBA DE DENTRO,"R$ 4.554,53"
14,593,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CACIMBA DE DENTRO,"R$ 10.499,31"
15,594,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CACIMBA DE DENTRO,"R$ 10.499,31"
16,595,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CACIMBA DE DENTRO,"R$ 10.499,31"
17,431,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CACIMBA DE DENTRO,"R$ 10.499,31"
18,432,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CACIMBA DE DENTRO,"R$ 10.499,31"
19,433,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CACIMBA DE DENTRO,"R$ 10.499,31"
20,432,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CACIMBA DE DENTRO,"R$ 10.499,31"
21,433,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CACIMBA DE DENTRO,"R$ 10.499,31"
22,434,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CACIMBA DE DENTRO,"R$ 10.499,33"
23,665,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CACIMBA DE DENTRO,"R$ 313.656,86"
