,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,119,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CARRAPATEIRA,"R$ 6.076,00"
1,120,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CARRAPATEIRA,"R$ 6.076,00"
2,121,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CARRAPATEIRA,"R$ 6.076,00"
3,122,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CARRAPATEIRA,"R$ 6.076,00"
4,84,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CARRAPATEIRA,"R$ 6.076,00"
5,85,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CARRAPATEIRA,"R$ 6.076,00"
6,86,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CARRAPATEIRA,"R$ 6.076,00"
7,86,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CARRAPATEIRA,"R$ 6.076,00"
8,87,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CARRAPATEIRA,"R$ 6.076,00"
9,88,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CARRAPATEIRA,"R$ 6.076,00"
10,160,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CARRAPATEIRA,"R$ 3.370,00"
11,161,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CARRAPATEIRA,"R$ 3.370,00"
12,330,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CARRAPATEIRA,"R$ 7.560,00"
13,382,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CARRAPATEIRA,"R$ 10.000,00"
14,618,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CARRAPATEIRA,"R$ 30.204,00"
15,45,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CARRAPATEIRA,"R$ 1.718,79"
16,46,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CARRAPATEIRA,"R$ 1.718,79"
17,47,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CARRAPATEIRA,"R$ 1.718,79"
18,48,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CARRAPATEIRA,"R$ 1.718,79"
19,38,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CARRAPATEIRA,"R$ 1.718,79"
20,39,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CARRAPATEIRA,"R$ 1.718,79"
21,40,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CARRAPATEIRA,"R$ 1.718,79"
22,35,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CARRAPATEIRA,"R$ 1.718,79"
23,36,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CARRAPATEIRA,"R$ 1.718,79"
24,37,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CARRAPATEIRA,"R$ 1.718,85"
25,42,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CARRAPATEIRA,"R$ 62.276,64"
26,81,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CARRAPATEIRA,"R$ 74.003,96"
27,110,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CARRAPATEIRA,"R$ 81.882,85"
28,191,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CARRAPATEIRA,"R$ 102.408,16"
29,38,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CARRAPATEIRA,"R$ 58.964,24"
30,87,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CARRAPATEIRA,"R$ 73.095,43"
