,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,290,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CASSERENGUE,"R$ 9.932,00"
1,291,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CASSERENGUE,"R$ 9.932,00"
2,292,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CASSERENGUE,"R$ 9.932,00"
3,293,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CASSERENGUE,"R$ 9.932,00"
4,214,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CASSERENGUE,"R$ 9.932,00"
5,215,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CASSERENGUE,"R$ 9.932,00"
6,216,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CASSERENGUE,"R$ 9.932,00"
7,212,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CASSERENGUE,"R$ 9.932,00"
8,213,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CASSERENGUE,"R$ 9.932,00"
9,214,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CASSERENGUE,"R$ 9.932,00"
10,23,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CASSERENGUE,"R$ 6.250,00"
11,116,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CASSERENGUE,"R$ 24.250,00"
12,158,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CASSERENGUE,"R$ 3.330,00"
13,574,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CASSERENGUE,"R$ 24.880,00"
14,499,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CASSERENGUE,"R$ 7.394,82"
15,500,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CASSERENGUE,"R$ 7.394,82"
16,501,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CASSERENGUE,"R$ 7.394,82"
17,502,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CASSERENGUE,"R$ 7.394,82"
18,365,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CASSERENGUE,"R$ 7.394,82"
19,366,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CASSERENGUE,"R$ 7.394,82"
20,367,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CASSERENGUE,"R$ 7.394,82"
21,367,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CASSERENGUE,"R$ 7.394,82"
22,368,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CASSERENGUE,"R$ 7.394,82"
23,369,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CASSERENGUE,"R$ 7.394,82"
