,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,735,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATOLE DO ROCHA,"R$ 33.416,00"
1,736,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATOLE DO ROCHA,"R$ 33.416,00"
2,737,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATOLE DO ROCHA,"R$ 33.416,00"
3,738,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATOLE DO ROCHA,"R$ 33.416,00"
4,536,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATOLE DO ROCHA,"R$ 33.416,00"
5,537,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATOLE DO ROCHA,"R$ 33.416,00"
6,538,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATOLE DO ROCHA,"R$ 33.416,00"
7,540,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATOLE DO ROCHA,"R$ 33.416,00"
8,541,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATOLE DO ROCHA,"R$ 33.416,00"
9,542,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATOLE DO ROCHA,"R$ 33.416,00"
10,104,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CATOLE DO ROCHA,"R$ 19.993,90"
11,208,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CATOLE DO ROCHA,"R$ 4.290,00"
12,209,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CATOLE DO ROCHA,"R$ 4.290,00"
13,299,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CATOLE DO ROCHA,"R$ 6.500,00"
14,570,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CATOLE DO ROCHA,"R$ 24.000,00"
15,749,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CATOLE DO ROCHA,"R$ 67.090,00"
16,866,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CATOLE DO ROCHA,"R$ 194.216,00"
17,520,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATOLE DO ROCHA,"R$ 7.741,24"
18,521,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATOLE DO ROCHA,"R$ 7.741,24"
19,522,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATOLE DO ROCHA,"R$ 7.741,24"
20,523,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATOLE DO ROCHA,"R$ 7.741,24"
21,380,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATOLE DO ROCHA,"R$ 7.741,24"
22,381,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATOLE DO ROCHA,"R$ 7.741,24"
23,382,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATOLE DO ROCHA,"R$ 7.741,24"
24,383,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATOLE DO ROCHA,"R$ 7.741,24"
25,384,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATOLE DO ROCHA,"R$ 7.741,24"
26,385,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATOLE DO ROCHA,"R$ 7.741,28"
27,704,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLE DO ROCHA,"R$ 349.818,90"
28,751,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLE DO ROCHA,"R$ 415.693,14"
29,773,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLE DO ROCHA,"R$ 459.965,98"
30,810,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLE DO ROCHA,"R$ 575.244,41"
31,695,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLE DO ROCHA,"R$ 331.212,45"
32,754,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLE DO ROCHA,"R$ 410.589,67"
33,776,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLE DO ROCHA,"R$ 456.506,71"
34,811,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLE DO ROCHA,"R$ 552.570,71"
35,596,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLE DO ROCHA,"R$ 334.087,57"
36,661,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLE DO ROCHA,"R$ 404.789,46"
37,803,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLE DO ROCHA,"R$ 728.320,31"
38,831,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLE DO ROCHA,"R$ 879.047,41"
39,625,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLE DO ROCHA,"R$ 53.240,58"
40,626,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLE DO ROCHA,"R$ 53.240,58"
41,627,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLE DO ROCHA,"R$ 53.240,58"
42,855,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLE DO ROCHA,"R$ 235.496,67"
43,651,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLE DO ROCHA,"R$ 53.205,57"
44,652,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLE DO ROCHA,"R$ 53.205,57"
45,819,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLE DO ROCHA,"R$ 106.481,16"
46,822,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLE DO ROCHA,"R$ 108.057,65"
47,679,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLE DO ROCHA,"R$ 53.205,57"
48,680,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLE DO ROCHA,"R$ 53.205,57"
49,681,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLE DO ROCHA,"R$ 53.205,57"
50,846,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLE DO ROCHA,"R$ 136.680,69"
51,29,20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA,CATOLE DO ROCHA,"R$ 25.719,16"
52,1,8790 - APOIO A ALFABETIZACAO E A EDUCACAO DE JOVENS E ADULTOS,CATOLE DO ROCHA,"R$ 3.637,51"
53,341,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATOLE DO ROCHA,"R$ 31.190,80"
54,370,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATOLE DO ROCHA,"R$ 38.929,80"
55,686,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATOLE DO ROCHA,"R$ 38.929,80"
56,687,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATOLE DO ROCHA,"R$ 38.929,80"
57,688,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATOLE DO ROCHA,"R$ 38.929,80"
58,689,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATOLE DO ROCHA,"R$ 38.929,80"
59,650,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATOLE DO ROCHA,"R$ 31.190,80"
60,713,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATOLE DO ROCHA,"R$ 38.589,00"
61,716,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATOLE DO ROCHA,"R$ 38.873,00"
62,717,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATOLE DO ROCHA,"R$ 38.873,00"
63,81,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CATOLE DO ROCHA,"R$ 3.150,00"
64,374,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CATOLE DO ROCHA,"R$ 28.989,00"
65,422,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CATOLE DO ROCHA,"R$ 44.270,00"
66,174,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CATOLE DO ROCHA,"R$ 3.150,00"
67,551,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CATOLE DO ROCHA,"R$ 24.220,00"
68,743,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CATOLE DO ROCHA,"R$ 68.490,00"
69,774,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CATOLE DO ROCHA,"R$ 88.290,00"
70,407,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATOLE DO ROCHA,"R$ 6.342,22"
71,408,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATOLE DO ROCHA,"R$ 6.342,22"
72,409,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATOLE DO ROCHA,"R$ 6.342,22"
73,410,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATOLE DO ROCHA,"R$ 6.342,22"
74,415,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATOLE DO ROCHA,"R$ 6.342,22"
75,416,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATOLE DO ROCHA,"R$ 6.342,22"
76,417,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATOLE DO ROCHA,"R$ 6.342,22"
77,418,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATOLE DO ROCHA,"R$ 6.342,22"
78,210,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATOLE DO ROCHA,"R$ 6.342,22"
79,211,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATOLE DO ROCHA,"R$ 6.342,26"
80,717,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLE DO ROCHA,"R$ 384.700,24"
81,763,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLE DO ROCHA,"R$ 461.799,68"
82,774,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLE DO ROCHA,"R$ 478.854,38"
83,813,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLE DO ROCHA,"R$ 612.466,75"
84,733,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLE DO ROCHA,"R$ 372.364,30"
85,766,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLE DO ROCHA,"R$ 423.304,60"
86,790,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLE DO ROCHA,"R$ 483.706,34"
