,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,692,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONCEIÇÃO,"R$ 29.656,00"
1,693,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONCEIÇÃO,"R$ 29.656,00"
2,694,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONCEIÇÃO,"R$ 29.656,00"
3,695,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONCEIÇÃO,"R$ 29.656,00"
4,505,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONCEIÇÃO,"R$ 29.656,00"
5,506,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONCEIÇÃO,"R$ 29.656,00"
6,507,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONCEIÇÃO,"R$ 29.656,00"
7,508,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONCEIÇÃO,"R$ 29.656,00"
8,509,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONCEIÇÃO,"R$ 29.656,00"
9,510,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONCEIÇÃO,"R$ 29.656,00"
10,50,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CONCEIÇÃO,"R$ 8.750,00"
11,542,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CONCEIÇÃO,"R$ 20.340,00"
12,704,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CONCEIÇÃO,"R$ 50.490,00"
13,875,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CONCEIÇÃO,"R$ 230.923,00"
14,659,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONCEIÇÃO,"R$ 12.284,20"
15,660,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONCEIÇÃO,"R$ 12.284,20"
16,661,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONCEIÇÃO,"R$ 12.284,20"
