,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,830,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONDE,"R$ 65.354,00"
1,831,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONDE,"R$ 65.354,00"
2,832,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONDE,"R$ 65.354,00"
3,833,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONDE,"R$ 65.354,00"
4,608,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONDE,"R$ 65.354,00"
5,609,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONDE,"R$ 65.354,00"
6,610,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONDE,"R$ 65.354,00"
7,611,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONDE,"R$ 65.354,00"
8,612,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONDE,"R$ 65.354,00"
9,613,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONDE,"R$ 65.354,00"
10,174,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CONDE,"R$ 97.500,00"
11,60,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CONDE,"R$ 1.400,00"
12,274,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CONDE,"R$ 6.140,00"
13,275,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CONDE,"R$ 6.140,00"
14,676,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CONDE,"R$ 42.000,00"
15,777,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CONDE,"R$ 82.520,00"
16,886,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CONDE,"R$ 313.709,00"
17,759,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONDE,"R$ 18.295,58"
18,760,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONDE,"R$ 18.295,58"
19,761,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONDE,"R$ 18.295,58"
20,762,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONDE,"R$ 18.295,58"
21,550,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONDE,"R$ 18.295,58"
22,551,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONDE,"R$ 18.295,58"
23,552,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONDE,"R$ 18.295,58"
24,544,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONDE,"R$ 18.295,58"
25,545,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONDE,"R$ 18.295,58"
26,546,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONDE,"R$ 18.295,58"
27,819,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONDE,"R$ 614.468,51"
