,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,298,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONGO,"R$ 10.012,00"
1,299,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONGO,"R$ 10.012,00"
2,300,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONGO,"R$ 10.012,00"
3,301,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONGO,"R$ 10.012,00"
4,220,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONGO,"R$ 10.012,00"
5,221,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONGO,"R$ 10.012,00"
6,222,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONGO,"R$ 10.012,00"
7,218,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONGO,"R$ 10.012,00"
8,219,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONGO,"R$ 10.012,00"
9,220,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONGO,"R$ 10.012,00"
10,3,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CONGO,"R$ 2.400,01"
11,222,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CONGO,"R$ 4.830,00"
12,224,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CONGO,"R$ 4.830,00"
13,426,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CONGO,"R$ 11.960,00"
14,651,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CONGO,"R$ 37.168,00"
15,110,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONGO,"R$ 2.433,86"
16,111,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONGO,"R$ 2.433,86"
17,112,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONGO,"R$ 2.433,86"
18,113,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONGO,"R$ 2.433,86"
19,79,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONGO,"R$ 2.433,86"
20,80,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONGO,"R$ 2.433,86"
21,81,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONGO,"R$ 2.433,86"
22,75,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONGO,"R$ 2.433,86"
23,76,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONGO,"R$ 2.433,86"
24,77,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONGO,"R$ 2.433,89"
25,209,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONGO,"R$ 105.678,74"
26,280,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONGO,"R$ 125.579,04"
27,324,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONGO,"R$ 138.948,29"
28,419,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONGO,"R$ 173.778,76"
29,197,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONGO,"R$ 100.057,81"
30,288,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONGO,"R$ 124.037,30"
31,332,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONGO,"R$ 137.908,63"
32,416,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONGO,"R$ 166.929,15"
33,146,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONGO,"R$ 100.926,36"
34,205,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONGO,"R$ 122.285,11"
35,437,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONGO,"R$ 220.022,30"
36,513,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONGO,"R$ 265.556,30"
37,235,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONGO,"R$ 16.083,74"
38,236,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONGO,"R$ 16.083,74"
39,237,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONGO,"R$ 16.083,74"
40,674,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONGO,"R$ 62.290,16"
41,180,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONGO,"R$ 16.073,17"
42,181,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONGO,"R$ 16.073,17"
43,393,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONGO,"R$ 27.395,29"
44,471,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONGO,"R$ 32.167,48"
45,239,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONGO,"R$ 16.073,17"
46,240,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONGO,"R$ 16.073,17"
47,241,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONGO,"R$ 16.073,17"
48,609,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONGO,"R$ 41.290,63"
49,96,12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES,CONGO,"R$ 76.446,15"
50,35,8790 - APOIO A ALFABETIZACAO E A EDUCACAO DE JOVENS E ADULTOS,CONGO,"R$ 30.169,43"
