,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,545,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),COREMAS,"R$ 18.623,20"
1,546,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),COREMAS,"R$ 18.623,20"
2,547,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),COREMAS,"R$ 18.623,20"
3,548,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),COREMAS,"R$ 18.623,20"
4,398,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),COREMAS,"R$ 18.623,20"
5,399,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),COREMAS,"R$ 18.623,20"
6,400,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),COREMAS,"R$ 18.623,20"
7,400,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),COREMAS,"R$ 18.623,20"
8,401,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),COREMAS,"R$ 18.623,20"
9,402,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),COREMAS,"R$ 18.623,20"
10,81,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,COREMAS,"R$ 15.000,00"
11,162,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,COREMAS,"R$ 73.849,96"
12,348,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,COREMAS,"R$ 8.700,00"
13,349,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,COREMAS,"R$ 8.700,00"
14,535,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,COREMAS,"R$ 20.000,00"
15,636,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,COREMAS,"R$ 33.020,00"
16,780,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,COREMAS,"R$ 84.358,00"
17,343,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,COREMAS,"R$ 5.115,20"
18,344,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,COREMAS,"R$ 5.115,20"
19,345,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,COREMAS,"R$ 5.115,20"
20,346,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,COREMAS,"R$ 5.115,20"
21,247,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,COREMAS,"R$ 5.115,20"
22,248,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,COREMAS,"R$ 5.115,20"
23,249,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,COREMAS,"R$ 5.115,20"
24,248,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,COREMAS,"R$ 5.115,18"
25,249,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,COREMAS,"R$ 5.115,20"
