,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,3,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),COXIXOLA,"R$ 1.280,00"
1,4,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),COXIXOLA,"R$ 1.280,00"
2,5,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),COXIXOLA,"R$ 1.280,00"
3,6,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),COXIXOLA,"R$ 1.280,00"
4,1,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),COXIXOLA,"R$ 1.280,00"
5,2,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),COXIXOLA,"R$ 1.280,00"
6,3,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),COXIXOLA,"R$ 1.280,00"
7,0,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),COXIXOLA,"R$ 1.280,00"
8,1,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),COXIXOLA,"R$ 1.280,00"
9,2,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),COXIXOLA,"R$ 1.280,00"
10,140,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,COXIXOLA,"R$ 2.940,00"
11,141,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,COXIXOLA,"R$ 2.940,00"
12,184,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,COXIXOLA,"R$ 3.720,00"
13,564,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,COXIXOLA,"R$ 23.806,00"
14,144,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,COXIXOLA,"R$ 2.690,68"
15,145,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,COXIXOLA,"R$ 2.690,68"
