,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,629,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUITE,"R$ 24.612,00"
1,630,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUITE,"R$ 24.612,00"
2,631,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUITE,"R$ 24.612,00"
3,632,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUITE,"R$ 24.612,00"
4,459,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUITE,"R$ 24.612,00"
5,460,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUITE,"R$ 24.612,00"
6,461,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUITE,"R$ 24.612,00"
7,460,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUITE,"R$ 24.612,00"
8,461,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUITE,"R$ 24.612,00"
9,462,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUITE,"R$ 24.612,00"
10,42,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CUITE,"R$ 8.300,00"
11,367,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CUITE,"R$ 9.720,00"
12,368,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CUITE,"R$ 9.720,00"
13,522,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CUITE,"R$ 18.800,00"
14,601,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CUITE,"R$ 28.390,00"
15,729,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CUITE,"R$ 59.452,00"
16,814,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CUITE,"R$ 109.000,00"
17,711,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CUITE,"R$ 14.785,26"
18,712,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CUITE,"R$ 14.785,26"
19,713,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CUITE,"R$ 14.785,26"
20,714,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CUITE,"R$ 14.785,26"
21,512,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CUITE,"R$ 14.785,26"
22,513,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CUITE,"R$ 14.785,26"
23,514,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CUITE,"R$ 14.785,26"
24,509,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CUITE,"R$ 14.785,26"
25,510,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CUITE,"R$ 14.785,26"
26,511,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CUITE,"R$ 14.785,26"
27,601,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CUITE,"R$ 265.269,24"
28,669,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CUITE,"R$ 315.221,99"
29,703,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CUITE,"R$ 348.794,34"
30,763,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CUITE,"R$ 436.210,42"
31,592,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CUITE,"R$ 251.159,91"
32,672,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CUITE,"R$ 311.352,01"
33,708,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CUITE,"R$ 346.171,08"
34,763,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CUITE,"R$ 419.016,85"
35,490,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CUITE,"R$ 253.340,13"
36,564,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CUITE,"R$ 306.953,65"
37,745,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CUITE,"R$ 552.288,58"
38,787,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CUITE,"R$ 666.585,64"
39,543,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CUITE,"R$ 40.372,57"
40,544,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CUITE,"R$ 40.372,57"
41,545,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CUITE,"R$ 40.372,57"
42,835,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CUITE,"R$ 178.694,18"
43,548,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CUITE,"R$ 40.346,02"
44,549,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CUITE,"R$ 40.346,02"
45,762,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CUITE,"R$ 80.745,14"
46,767,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CUITE,"R$ 82.009,38"
47,591,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CUITE,"R$ 40.346,02"
48,592,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CUITE,"R$ 40.346,02"
49,593,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CUITE,"R$ 40.346,02"
50,821,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CUITE,"R$ 103.645,57"
51,49,12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES,CUITE,"R$ 25.500,00"
52,85,12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES,CUITE,"R$ 51.000,00"
53,16,"214V - APOIO A ALFABETIZACAO, A EDUCACAO DE JOVENS E ADULTOS E A PROGRAMAS DE ELEVACAO DE ESCOLARIDADE, COM QUALIFICACAO PROFISSIONAL E PARTICIPACAO CIDADA",CUITE,"R$ 29.898,75"
54,27,"214V - APOIO A ALFABETIZACAO, A EDUCACAO DE JOVENS E ADULTOS E A PROGRAMAS DE ELEVACAO DE ESCOLARIDADE, COM QUALIFICACAO PROFISSIONAL E PARTICIPACAO CIDADA",CUITE,"R$ 46.410,00"
55,33,"214V - APOIO A ALFABETIZACAO, A EDUCACAO DE JOVENS E ADULTOS E A PROGRAMAS DE ELEVACAO DE ESCOLARIDADE, COM QUALIFICACAO PROFISSIONAL E PARTICIPACAO CIDADA",CUITE,"R$ 57.018,00"
56,12,00OW - APOIO A MANUTENCAO DA EDUCACAO INFANTIL,CUITE,"R$ 237.699,20"
57,323,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUITE,"R$ 26.344,60"
58,331,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUITE,"R$ 26.955,20"
59,0,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUITE,"R$ 610,60"
60,588,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUITE,"R$ 26.344,60"
61,599,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUITE,"R$ 26.955,20"
62,615,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUITE,"R$ 26.344,60"
63,616,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUITE,"R$ 26.344,60"
64,617,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUITE,"R$ 26.344,60"
65,624,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUITE,"R$ 26.642,80"
66,174,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CUITE,"R$ 8.110,00"
67,176,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CUITE,"R$ 8.390,00"
68,237,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CUITE,"R$ 4.470,00"
69,347,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CUITE,"R$ 8.390,00"
70,373,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CUITE,"R$ 9.732,00"
71,538,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CUITE,"R$ 22.710,00"
72,612,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CUITE,"R$ 30.820,00"
73,674,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CUITE,"R$ 14.260,19"
74,675,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CUITE,"R$ 14.260,19"
75,676,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CUITE,"R$ 14.260,19"
76,677,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CUITE,"R$ 14.260,19"
77,691,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CUITE,"R$ 14.260,19"
78,692,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CUITE,"R$ 14.260,19"
79,693,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CUITE,"R$ 14.260,19"
80,694,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CUITE,"R$ 14.260,19"
81,341,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CUITE,"R$ 14.260,05"
82,342,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CUITE,"R$ 14.260,19"
