,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,453,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUITÉ DE MAMANGUAPE,"R$ 14.914,00"
1,454,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUITÉ DE MAMANGUAPE,"R$ 14.914,00"
2,455,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUITÉ DE MAMANGUAPE,"R$ 14.914,00"
3,456,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUITÉ DE MAMANGUAPE,"R$ 14.914,00"
4,332,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUITÉ DE MAMANGUAPE,"R$ 14.914,00"
5,333,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUITÉ DE MAMANGUAPE,"R$ 14.914,00"
6,334,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUITÉ DE MAMANGUAPE,"R$ 14.914,00"
7,332,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUITÉ DE MAMANGUAPE,"R$ 14.914,00"
8,333,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUITÉ DE MAMANGUAPE,"R$ 14.914,00"
9,334,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUITÉ DE MAMANGUAPE,"R$ 14.914,00"
10,44,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CUITÉ DE MAMANGUAPE,"R$ 1.230,00"
11,635,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CUITÉ DE MAMANGUAPE,"R$ 32.890,00"
12,844,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CUITÉ DE MAMANGUAPE,"R$ 149.518,00"
13,707,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CUITÉ DE MAMANGUAPE,"R$ 14.622,37"
14,708,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CUITÉ DE MAMANGUAPE,"R$ 14.622,37"
