,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,131,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CURRAL VELHO,"R$ 6.342,00"
1,132,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CURRAL VELHO,"R$ 6.342,00"
2,133,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CURRAL VELHO,"R$ 6.342,00"
3,134,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CURRAL VELHO,"R$ 6.342,00"
4,93,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CURRAL VELHO,"R$ 6.342,00"
5,94,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CURRAL VELHO,"R$ 6.342,00"
6,95,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CURRAL VELHO,"R$ 6.342,00"
7,95,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CURRAL VELHO,"R$ 6.342,00"
8,96,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CURRAL VELHO,"R$ 6.342,00"
9,97,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CURRAL VELHO,"R$ 6.342,00"
10,98,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CURRAL VELHO,"R$ 2.270,00"
11,372,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CURRAL VELHO,"R$ 9.882,00"
12,57,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CURRAL VELHO,"R$ 1.781,40"
13,58,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CURRAL VELHO,"R$ 1.781,40"
14,59,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CURRAL VELHO,"R$ 1.781,40"
15,60,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CURRAL VELHO,"R$ 1.781,40"
16,45,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CURRAL VELHO,"R$ 1.781,40"
17,46,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CURRAL VELHO,"R$ 1.781,40"
18,47,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CURRAL VELHO,"R$ 1.781,40"
19,41,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CURRAL VELHO,"R$ 1.781,40"
20,42,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CURRAL VELHO,"R$ 1.781,40"
21,43,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CURRAL VELHO,"R$ 1.781,42"
22,25,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CURRAL VELHO,"R$ 54.011,89"
23,50,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CURRAL VELHO,"R$ 64.182,84"
24,70,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CURRAL VELHO,"R$ 71.018,28"
25,139,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CURRAL VELHO,"R$ 88.817,47"
26,23,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CURRAL VELHO,"R$ 51.139,06"
27,53,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CURRAL VELHO,"R$ 63.394,87"
28,78,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CURRAL VELHO,"R$ 70.484,42"
29,133,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CURRAL VELHO,"R$ 85.316,67"
30,21,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CURRAL VELHO,"R$ 51.582,98"
31,42,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CURRAL VELHO,"R$ 62.499,32"
32,173,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CURRAL VELHO,"R$ 112.452,34"
33,233,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CURRAL VELHO,"R$ 135.724,51"
34,39,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CURRAL VELHO,"R$ 8.220,32"
35,40,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CURRAL VELHO,"R$ 8.220,32"
