,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,246,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DUAS ESTRADAS,"R$ 9.162,00"
1,247,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DUAS ESTRADAS,"R$ 9.162,00"
2,248,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DUAS ESTRADAS,"R$ 9.162,00"
3,249,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DUAS ESTRADAS,"R$ 9.162,00"
4,181,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DUAS ESTRADAS,"R$ 9.162,00"
5,182,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DUAS ESTRADAS,"R$ 9.162,00"
6,183,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DUAS ESTRADAS,"R$ 9.162,00"
7,179,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DUAS ESTRADAS,"R$ 9.162,00"
8,180,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DUAS ESTRADAS,"R$ 9.162,00"
9,181,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DUAS ESTRADAS,"R$ 9.162,00"
10,69,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,DUAS ESTRADAS,"R$ 11.836,42"
11,375,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,DUAS ESTRADAS,"R$ 9.960,00"
12,490,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,DUAS ESTRADAS,"R$ 15.640,00"
13,654,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,DUAS ESTRADAS,"R$ 38.000,00"
14,714,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,DUAS ESTRADAS,"R$ 53.317,00"
15,186,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DUAS ESTRADAS,"R$ 3.208,45"
16,187,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DUAS ESTRADAS,"R$ 3.208,45"
17,188,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DUAS ESTRADAS,"R$ 3.208,45"
18,189,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DUAS ESTRADAS,"R$ 3.208,45"
19,137,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DUAS ESTRADAS,"R$ 3.208,45"
20,138,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DUAS ESTRADAS,"R$ 3.208,45"
21,139,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DUAS ESTRADAS,"R$ 3.208,45"
22,134,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DUAS ESTRADAS,"R$ 3.208,43"
23,135,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DUAS ESTRADAS,"R$ 3.208,45"
24,136,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DUAS ESTRADAS,"R$ 3.208,45"
25,111,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DUAS ESTRADAS,"R$ 81.975,84"
26,174,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DUAS ESTRADAS,"R$ 97.412,69"
27,216,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DUAS ESTRADAS,"R$ 107.789,53"
28,308,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DUAS ESTRADAS,"R$ 134.801,61"
29,107,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DUAS ESTRADAS,"R$ 77.615,66"
30,177,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DUAS ESTRADAS,"R$ 96.216,75"
31,224,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DUAS ESTRADAS,"R$ 106.976,86"
32,302,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DUAS ESTRADAS,"R$ 129.488,29"
33,85,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DUAS ESTRADAS,"R$ 78.289,42"
34,126,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DUAS ESTRADAS,"R$ 94.857,54"
35,326,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DUAS ESTRADAS,"R$ 170.673,09"
36,409,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DUAS ESTRADAS,"R$ 205.994,18"
37,154,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DUAS ESTRADAS,"R$ 12.476,29"
38,155,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DUAS ESTRADAS,"R$ 12.476,29"
39,156,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DUAS ESTRADAS,"R$ 12.476,29"
40,651,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DUAS ESTRADAS,"R$ 58.545,51"
41,111,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DUAS ESTRADAS,"R$ 12.468,08"
42,112,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DUAS ESTRADAS,"R$ 12.468,08"
43,345,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DUAS ESTRADAS,"R$ 24.952,58"
44,389,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DUAS ESTRADAS,"R$ 27.313,94"
45,155,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DUAS ESTRADAS,"R$ 12.468,08"
46,156,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DUAS ESTRADAS,"R$ 12.468,08"
47,157,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DUAS ESTRADAS,"R$ 12.468,08"
48,519,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DUAS ESTRADAS,"R$ 32.029,47"
49,100,12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES,DUAS ESTRADAS,"R$ 76.499,54"
50,69,20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA,DUAS ESTRADAS,"R$ 91.559,82"
51,91,20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA,DUAS ESTRADAS,"R$ 137.339,74"
52,94,8790 - APOIO A ALFABETIZACAO E A EDUCACAO DE JOVENS E ADULTOS,DUAS ESTRADAS,"R$ 114.056,54"
